FB001,FB002,FB003,FB004,FB005,FB006,FB007,FB008,FB009,FB010,FB011,FB012,FB013,FB014,FB015,FB016,FB017,FB018,FB019,FB020,FB021,FB022,FB023,FB024,FB025,FB026,FB027,FB028,FB029,FB030,FB031,FB032,FB033,FB034,FB035,FB036,FB037,FB038,FB039,FB040,FB041,FB042,FB043,FB044,FB045,FB046,FB047,FB048,FB049,FB050,FB051,FB052,FB053,FB054,FB055,FB056,FB057,FB058,FB059,FB060,FB061,FB062,FB063,FB064,FB065,FB066,FB067,FB068,FB069,FB070,FB071,FB072,FB073,FB074,,Avg
6.3031,3.5143,3.4303,1.8538,1.6603,11.8876,10.3576,7.0732,4.8343,,9.5365,,13.9735,,12.9688,8.8225,11.7295,3.8983,5.1811,,3.9508,7.3588,4.2121,4.7068,1.27604592,5.6758,9.7507,8.9959,10.3576,,5.8084,3.6448,,2.4658,4.5589,1.4743,7.7005,5.2015,,3.0658,,6.8947,7.0987,4.6813,6.3643,,5.4871,5.4565,4.0081,12.9841,5.788,7.8535,9.7864,6.0226,9.9904,4.2121,1.9348,4.1356,5.0944,7.7107,22.9091,4.9057,4.7782,3.9418,25.9583,10.0312,13.0555,9.8884,5.3749,15.3709,3.4318,4.5946,9.0214,15.5392,,7.254362245
6.3031,3.5143,3.4303,1.8538,1.6603,11.8876,10.3576,7.0732,4.8343,,9.5365,,13.9735,,12.9688,8.8225,11.7295,3.8983,5.1811,,3.9508,7.3588,4.2121,4.7068,1.27604592,5.6758,9.7507,8.9959,10.3576,,5.8084,3.6448,,2.4658,4.5589,1.4743,7.7005,5.2015,,3.0658,,6.8947,7.0987,4.6813,6.3643,,5.4871,5.4565,4.0081,12.9841,5.788,7.8535,9.7864,6.0226,9.9904,4.2121,1.9348,4.1356,5.0944,7.7107,22.9091,4.9057,4.7782,3.9418,25.9583,10.0312,13.0555,9.8884,5.3749,15.3709,3.4318,4.5946,9.0214,15.5392,,7.254362245
6.3031,3.5143,3.4303,1.8538,1.6603,11.8876,10.3525,7.0732,4.8343,,9.5365,,13.9735,,12.9688,8.8225,11.7295,3.8983,5.1811,,3.9523,7.3588,4.2121,4.7068,1.27604592,5.6758,9.7507,8.9959,10.3576,,5.8084,3.6448,,2.4658,4.5589,1.4743,7.7005,5.2015,,3.0658,,6.8947,7.0987,4.6813,6.3643,,5.4871,5.4565,4.0081,12.9841,5.788,7.8535,9.7864,6.0226,9.9955,4.2121,1.9348,4.1356,5.0944,7.7107,22.8365,4.9057,4.7782,3.9418,25.9583,10.0312,13.0555,9.8884,5.3749,15.3709,3.4318,4.5946,9.0214,15.5392,,7.253268399
6.3031,3.5143,3.4303,1.8538,1.6603,11.8876,10.3525,7.0732,4.8343,,9.5365,,13.9735,,12.9688,8.8225,11.7295,3.8983,5.1811,,3.9523,7.3588,4.2121,4.7068,1.27604592,5.6758,9.7507,8.9959,10.3576,,5.8084,3.6448,,2.4658,4.5589,1.4743,7.7005,5.2015,,3.0658,,6.8947,7.0987,4.6813,6.3643,,5.4871,5.4565,4.0081,12.9841,5.788,7.8535,9.7864,6.0226,9.9955,4.2121,1.9348,4.1356,5.0944,7.7107,22.8365,4.9057,4.7782,3.9418,25.9583,10.0312,13.0555,9.8884,5.3749,15.3709,3.4318,4.5946,9.0214,15.5392,,7.253268399
6.3031,3.5143,3.4303,1.8538,1.6603,11.8876,10.3525,7.0732,4.8343,,9.5365,,13.9735,,12.9688,8.8225,11.7295,3.8983,5.1811,,3.9523,7.3588,4.207,4.7068,1.27604592,5.6758,9.7507,8.9908,10.3474,,5.8084,3.6448,,2.4658,4.5589,1.4743,7.7005,5.2015,,3.0658,,6.8947,7.0987,4.6813,6.3643,,5.4871,5.4565,4.0081,12.9841,5.788,7.8535,9.7864,6.0226,9.9955,4.2121,1.9348,4.1356,5.0944,7.7107,22.8365,4.9057,4.7782,3.9418,25.9583,10.0312,13.0555,9.8884,5.3749,15.3709,3.4318,4.5946,9.0214,15.5341,,7.252876091
6.3031,3.5143,3.4303,1.8538,1.6603,11.8876,10.3525,7.0732,4.8343,,9.5365,,13.9735,,12.9688,8.8225,11.7295,3.8983,5.1811,,3.9523,7.3588,4.207,4.7068,1.27604592,5.6758,9.7507,8.9908,10.3474,,5.8084,3.6448,,2.4658,4.5589,1.4743,7.7005,5.2015,,3.0658,,6.8947,7.0987,4.6813,6.3643,,5.4871,5.4565,4.0081,12.9841,5.788,7.8535,9.7864,6.0226,9.9955,4.2121,1.9348,4.1356,5.0944,7.7107,22.8365,4.9057,4.7782,3.9418,25.9583,10.0312,13.0555,9.8884,5.3749,15.3709,3.4318,4.5946,9.0214,15.5341,,7.252876091
6.3031,3.5143,3.4303,1.8538,1.6603,11.8876,10.3525,7.0732,4.8343,,9.5365,,13.9735,,12.9688,8.8225,11.7295,3.8983,5.1811,,3.9523,7.3588,4.207,4.7068,1.27604592,5.6758,9.7507,8.9908,10.3474,,5.8084,3.6448,,2.4658,4.5589,1.4743,7.7005,5.2015,,3.0688,,6.8947,7.0987,4.6813,6.3643,,5.4871,5.4565,4.0081,12.9841,5.788,7.8535,9.7864,6.0226,9.9955,4.2121,1.9348,4.1356,5.0944,7.7107,22.8365,4.9057,4.7782,3.9418,25.9583,10.0312,13.0555,9.8884,5.3749,15.3709,3.4318,4.5946,9.0214,15.5341,,7.252922245
6.3031,3.5143,3.4303,1.8538,1.6603,11.8876,10.3525,7.0732,4.8343,,9.5365,,13.9735,,12.9688,8.8225,11.7295,3.8983,5.1811,,3.9523,7.3588,4.207,4.7068,1.27604592,5.6758,9.7507,8.9908,10.3474,,5.8084,3.6448,,2.4658,4.5589,1.4743,7.7005,5.2015,,3.0688,,6.8947,7.0987,4.6813,6.3643,,5.4871,5.4565,4.0081,12.9841,5.788,7.8535,9.7864,6.0226,9.9955,4.2121,1.9348,4.1356,5.0944,7.7107,22.8365,4.9057,4.7782,3.9418,25.9583,10.0312,13.0555,9.8884,5.3749,15.3709,3.4318,4.5946,9.0214,15.5341,,7.252922245
6.3031,3.5158,3.4303,1.8538,1.6618,11.8876,10.3525,7.0732,4.8343,,9.5365,,13.9735,,12.9688,8.8225,11.7295,3.8983,5.1811,,3.9523,7.3588,4.207,4.7068,1.27604592,5.6758,9.7507,8.9908,10.3474,,5.8084,3.6448,,2.4658,4.5589,1.4743,7.7005,5.2015,,3.0688,,6.8947,7.0936,4.6813,6.3643,,5.4871,5.4565,4.0081,12.9331,5.788,7.8535,9.7864,6.0226,9.9955,4.2121,1.9348,4.1356,5.0944,7.7056,22.8365,4.9057,4.7782,3.9418,25.9583,10.0312,13.0555,9.8884,5.3749,15.3709,3.4318,4.5946,9.0214,15.5341,,7.25202686
6.3031,3.5158,3.4303,1.8538,1.6618,11.8876,10.3525,7.0732,4.8343,,9.5263,,13.9735,,12.9688,8.8225,11.7295,3.8983,5.1811,,3.9523,7.3588,4.207,4.7068,1.27604592,5.6758,9.7507,8.9908,10.3474,,5.8084,3.6448,,2.4658,4.5589,1.4743,7.7005,5.2015,,3.0688,,6.8947,7.0936,4.6813,6.3643,,5.4871,5.4565,4.0081,12.9331,5.788,7.8535,9.7864,6.0226,9.9955,4.2121,1.9348,4.1356,5.0944,7.7056,22.8365,4.9057,4.7782,3.9418,25.9583,10.0312,13.0555,9.8884,5.3749,15.3709,3.4318,4.5946,9.0214,15.5341,,7.251869937
