"FB001","FB002","FB003","FB004","FB005","FB006","FB007","FB008","FB009","FB010","FB011","FB012","FB013","FB014","FB015","FB016","FB017","FB018","FB019","FB020","FB021","FB022","FB023","FB024","FB025","FB026","FB027","FB028","FB029","FB030","FB031","FB032","FB033","FB034","FB035","FB036","FB037","FB038","FB039","FB040","FB041","FB042","FB043","FB044","FB045","FB046","FB047","FB048","FB049","FB050","FB051","FB052","FB053","FB054","FB055","FB056","FB057","FB058","FB059","FB060","FB061","FB062","FB063","FB064","FB065","FB066","FB067","FB068","FB069","FB070","FB071","FB072","FB073","FB074"
6.0481,3.4588,3.2683,1.7788,1.6198,11.6071,10.225,7.5832,4.3753,NA,9.1897,NA,14.2999,NA,12.673,8.7103,11.3776,3.7738,5.1811,NA,3.6388,7.1548,4.2733,4.8241,1.26269202,5.4208,11.857,9.9088,9.8017,1.9198,5.6707,3.9748,NA,2.4703,4.4671,1.4638,7.5577,5.0842,NA,3.0073,NA,7.1752,7.2313,4.5334,6.2827,NA,5.2882,8.0116,4.7119,12.5251,5.6452,7.6852,9.6283,5.6248,12.2446,4.2937,1.9483,4.156,4.9363,6.7927,22.8365,5.4259,4.6201,3.8806,25.196,9.9904,13.4023,9.2152,5.7013,15.2689,3.4048,4.5538,8.8276,15.4933
6.0481,3.4588,3.2683,1.7788,1.6198,11.6071,10.225,7.5832,4.3753,NA,9.1897,NA,14.2999,NA,12.673,8.7103,11.3776,3.7738,5.1811,NA,3.6388,7.1548,4.2733,4.8241,1.26269202,5.4208,11.857,9.9088,9.8017,1.9198,5.6707,3.9748,NA,2.4703,4.4671,1.4638,7.5577,5.0842,NA,3.0073,NA,7.1752,7.2313,4.5334,6.2827,NA,5.2882,8.0116,4.7119,12.5251,5.6452,7.6852,9.6283,5.6248,12.2446,4.2937,1.9483,4.156,4.9363,6.7927,22.8365,5.4259,4.6201,3.8806,25.196,9.9904,13.4023,9.2152,5.7013,15.2689,3.4048,4.5538,8.8276,15.4933
6.0481,3.4588,3.2683,1.7788,1.6198,11.6071,10.225,7.5832,4.3753,NA,9.1897,NA,14.2999,NA,12.673,8.7103,11.3776,3.7738,5.1811,NA,3.6388,7.1548,4.2733,4.8241,1.26269202,5.4208,11.857,9.8986,9.8017,1.9198,5.6707,3.9748,NA,2.4703,4.4671,1.4638,7.5577,5.0842,NA,3.0118,NA,7.1752,7.2313,4.5334,6.2827,NA,5.2882,8.0116,4.7119,12.5251,5.6452,7.6852,9.6283,5.6248,12.2191,4.2937,1.9453,4.156,4.9363,6.7927,22.8365,5.4259,4.6201,3.8806,25.196,9.9904,13.3972,9.2152,5.7013,15.2689,3.4048,4.5538,8.8276,15.4933
6.0481,3.4588,3.2683,1.7788,1.6198,11.6071,10.225,7.5832,4.3753,NA,9.1897,NA,14.2999,NA,12.673,8.7103,11.3776,3.7738,5.1811,NA,3.6388,7.1548,4.2733,4.8241,1.26269202,5.4208,11.857,9.8986,9.8017,1.9198,5.6707,3.9748,NA,2.4703,4.4671,1.4638,7.5577,5.0842,NA,3.0118,NA,7.1752,7.2313,4.5334,6.2827,NA,5.2882,8.0116,4.7119,12.5251,5.6452,7.6852,9.6283,5.6248,12.2191,4.2937,1.9453,4.156,4.9363,6.7927,22.8365,5.4259,4.6201,3.8806,25.196,9.9904,13.3972,9.2152,5.7013,15.2689,3.4048,4.5538,8.8276,15.4933
6.0481,3.4588,3.2683,1.7788,1.6198,11.6071,10.225,7.5832,4.3753,NA,9.1897,NA,14.2999,NA,12.6679,8.7103,11.3776,3.7738,5.1811,NA,3.6388,7.1548,4.2733,4.8241,1.26269202,5.4208,11.857,9.8986,9.8017,1.9198,5.6707,3.9748,NA,2.4703,4.4671,1.4638,7.5577,5.0842,NA,3.0118,NA,7.1752,7.2313,4.5334,6.2827,NA,5.2882,8.0116,4.7119,12.5251,5.6452,7.6852,9.6283,5.6248,12.2191,4.2937,1.9453,4.156,4.9363,6.7927,22.8365,5.4259,4.6201,3.8806,25.196,9.9904,13.3972,9.2152,5.7013,15.2587,3.4048,4.5538,8.8276,15.4933
6.0481,3.4588,3.2683,1.7788,1.6198,11.6071,10.225,7.5832,4.3753,NA,9.1897,NA,14.2999,NA,12.6679,8.7103,11.3776,3.7738,5.1811,NA,3.6388,7.1548,4.2733,4.8241,1.26269202,5.4208,11.857,9.8986,9.8017,1.9198,5.6707,3.9748,NA,2.4703,4.4671,1.4638,7.5577,5.0842,NA,3.0118,NA,7.1752,7.2313,4.5334,6.2827,NA,5.2882,8.0116,4.7119,12.5251,5.6452,7.6852,9.6283,5.6248,12.2191,4.2937,1.9453,4.156,4.9363,6.7927,22.8365,5.4259,4.6201,3.8806,25.196,9.9904,13.3972,9.2152,5.7013,15.2587,3.4048,4.5538,8.8276,15.4933
6.0481,3.4588,3.2683,1.7788,1.6198,11.6071,10.225,7.5832,4.3753,NA,9.1897,NA,14.2999,NA,12.6679,8.7103,11.3776,3.7738,5.1811,NA,3.6388,7.1548,4.2733,4.8241,1.26269202,5.4208,11.857,9.8986,9.8017,1.9198,5.6707,3.9748,NA,2.4703,4.4671,1.4638,7.5577,5.0842,NA,3.0118,NA,7.1752,7.2313,4.5334,6.3082,NA,5.2882,8.0116,4.7119,12.5251,5.6452,7.6852,9.6283,5.6248,12.2191,4.2937,1.9453,4.156,4.9363,6.7978,22.8365,5.4259,4.6201,3.8806,25.196,9.9904,13.3972,9.2152,5.7013,15.2587,3.4048,4.5538,8.8276,15.4933
6.0481,3.4588,3.2683,1.7788,1.6198,11.6071,10.225,7.5832,4.3753,NA,9.1897,NA,14.2999,NA,12.6679,8.7103,11.3776,3.7738,5.1811,NA,3.6388,7.1548,4.2733,4.8241,1.26269202,5.4208,11.857,9.8986,9.8017,1.9198,5.6707,3.9748,NA,2.4703,4.4671,1.4638,7.5577,5.0842,NA,3.0118,NA,7.1752,7.2313,4.5334,6.3082,NA,5.2882,8.0116,4.7119,12.5251,5.6452,7.6852,9.6283,5.6248,12.2191,4.2937,1.9453,4.156,4.9363,6.7978,22.8365,5.4259,4.6201,3.8806,25.196,9.9904,13.3972,9.2152,5.7013,15.2587,3.4048,4.5538,8.8276,15.4933
6.0481,3.4588,3.2683,1.7788,1.6198,11.6071,10.225,7.5832,4.3753,NA,9.1897,NA,14.2999,NA,12.6679,8.7103,11.3776,3.7738,5.1811,NA,3.6388,7.1548,4.2733,4.8241,1.26269202,5.4208,11.857,9.8986,9.8017,1.9183,5.6707,3.9748,NA,2.4703,4.4671,1.4638,7.5577,5.0842,NA,3.0118,NA,7.1752,7.2262,4.5334,6.3082,NA,5.2882,8.0116,4.7119,12.5251,5.6452,7.6852,9.6283,5.6248,12.2191,4.2937,1.9453,4.156,4.9363,6.7978,22.8365,5.4259,4.6201,3.8806,25.196,9.9904,13.3972,9.2152,5.7013,15.2587,3.4048,4.5538,8.8276,15.4933
6.0481,3.4588,3.2683,1.7788,1.6198,11.6071,10.225,7.5832,4.3753,NA,9.1897,NA,14.2999,NA,12.6679,8.7103,11.3776,3.7738,5.1811,NA,3.6388,7.1548,4.2733,4.8241,1.26269202,5.4208,11.857,9.8986,9.8017,1.9183,5.6707,3.9748,NA,2.4703,4.4671,1.4638,7.5577,5.0842,NA,3.0118,NA,7.1752,7.2262,4.5334,6.3082,NA,5.2882,8.0116,4.7119,12.5251,5.6452,7.6852,9.6283,5.6248,12.2191,4.2937,1.9453,4.156,4.9363,6.7978,22.8365,5.4259,4.6201,3.8806,25.196,9.9904,13.3972,9.2152,5.7013,15.2587,3.4048,4.5538,8.8276,15.4933
