FB001,FB002,FB003,FB004,FB005,FB006,FB007,FB008,FB009,FB010,FB011,FB012,FB013,FB014,FB015,FB016,FB017,FB018,FB019,FB020,FB021,FB022,FB023,FB024,FB025,FB026,FB027,FB028,FB029,FB030,FB031,FB032,FB033,FB034,FB035,FB036,FB037,FB038,FB039,FB040,FB041,FB042,FB043,FB044,FB045,FB046,FB047,FB048,FB049,FB050,FB051,FB052,FB053,FB054,FB055,FB056,FB057,FB058,FB059,FB060,FB061,FB062,FB063,FB064,FB065,FB066,FB067,FB068,FB069,FB070,FB071,FB072,FB073,FB074
6.0073,3.1933,2.5693,1.4503,2.1763,12.9484,9.2458,7.0171,6.3796,,8.7766,,,,12.7393,9.7915,10.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0073,3.1933,2.5693,1.4503,2.1763,12.9484,9.2458,7.0171,6.3796,,8.7766,,,,12.7393,9.7915,10.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0124,3.1933,2.5693,1.4503,2.1763,12.9484,9.2458,7.0171,6.3796,,8.7766,,,,12.7393,9.7915,10.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0124,3.1933,2.5693,1.4503,2.1763,12.9484,9.2458,7.0171,6.3796,,8.7766,,,,12.7393,9.7915,10.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0124,3.1933,2.5693,1.4503,2.1763,12.9484,9.2458,7.0171,6.3796,,8.7766,,,,12.7393,9.7813,10.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0124,3.1933,2.5693,1.4503,2.1763,12.9484,9.2458,7.0171,6.3796,,8.7766,,,,12.7393,9.7813,10.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0124,3.1933,2.5693,1.4503,2.1763,12.9484,9.2458,7.0171,6.3796,,8.7766,,,,12.7393,9.7813,10.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0124,3.1933,2.5693,1.4503,2.1763,12.9484,9.2458,7.0171,6.3796,,8.7766,,,,12.7393,9.7813,10.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0124,3.1933,2.5693,1.4503,2.1763,12.9484,9.2458,7.0171,6.3796,,8.7766,,,,12.7393,9.7813,10.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0124,3.1933,2.5693,1.4503,2.1763,12.9484,9.2458,7.0171,6.3796,,8.7766,,,,12.7393,9.7813,10.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0124,3.1933,2.5693,1.4503,2.1763,12.9484,9.2458,7.0171,6.3796,,8.7766,,,,12.7393,9.7813,10.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0124,3.1933,2.5693,1.4503,2.1763,12.9484,9.2458,7.0171,6.3796,,8.7766,,,,12.7393,9.7813,10.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
