"FB001","FB002","FB003","FB004","FB005","FB006","FB007","FB008","FB009","FB010","FB011","FB012","FB013","FB014","FB015","FB016","FB017","FB018","FB019","FB020","FB021","FB022","FB023","FB024","FB025","FB026","FB027","FB028","FB029","FB030","FB031","FB032","FB033","FB034","FB035","FB036","FB037","FB038","FB039","FB040","FB041","FB042","FB043","FB044","FB045","FB046","FB047","FB048","FB049","FB050","FB051","FB052","FB053","FB054","FB055","FB056","FB057","FB058","FB059","FB060","FB061","FB062","FB063","FB064","FB065","FB066","FB067","FB068","FB069","FB070","FB071","FB072","FB073","FB074"
NA,NA,0.962,NA,0.851,0.77964039,0.739,NA,0.6480564,NA,0.8834375,NA,NA,NA,0.76367188,0.92679092,0.79323075,1.129,NA,0.69478581,0.69259799,1.09375,0.935,0.703125,0.79019657,0.99273682,0.80185945,1.1130934,NA,0.723,0.72199789,0.72896474,NA,NA,0.85351563,0.75468341,0.69140625,0.76852965,0.93391792,NA,0.70703125,0.94272402,0.68620523,0.85510197,0.793,0.757,NA,0.5625,0.69265713,1.0429135,0.87382075,NA,0.8384266,0.891,0.933,0.501,0.53125,0.99,0.928,NA,NA,0.74112216,0.8984375,0.82734375,0.837,0.62053571,0.76908903,0.646,0.946,0.871,0.87058424,0.74311756,1.0507813,0.74331551
NA,NA,0.813,NA,0.762,0.82170222,0.747,NA,0.69652631,NA,0.91005609,0.8293516,0.88131539,NA,0.67608173,0.95449617,0.53184375,1.026,NA,0.69140625,0.83938373,1.09375,0.76,0.71171875,0.83873029,0.97515191,0.75175383,0.8853125,0.76577819,0.766,0.80122423,0.71282694,NA,NA,0.91024383,0.84060595,0.69140625,0.81707317,0.87590554,NA,0.67716247,0.93291734,0.67578125,0.90837296,0.824,0.897,NA,0.59959591,0.80393089,1.0677532,0.99631647,NA,0.82071787,0.553,0.95,1.051,0.54214787,0.932,0.986,NA,NA,0.7133865,0.89954144,0.82708711,0.775,0.61507265,0.78617187,0.712,0.909,0.846,0.84588068,0.75959535,0.97123316,0.703125
NA,NA,0.888,NA,0.768,0.84198765,0.74,NA,0.72037584,NA,0.90679348,0.91407934,0.81755208,NA,0.95029174,0.94427944,0.66396837,0.934,NA,0.69645365,1.0359417,1.09375,0.812,0.7410411,0.91010552,0.92010374,0.85817027,0.92127404,0.84774926,0.788,0.81505409,0.69634841,NA,NA,0.91475184,0.89425592,0.68486607,0.87058265,1.3517838,NA,0.6910224,1.0063101,0.68993304,0.93698471,0.841,0.953,NA,0.80849848,0.79363745,1.2335769,0.991177,NA,0.82152609,0.513,0.909,1.298,0.54933036,0.866,1.033,NA,NA,0.74051638,0.90696023,0.88005208,0.917,0.65095538,0.82896606,0.737,0.843,0.868,0.86805359,0.75108731,0.73101478,0.69087358
NA,NA,1.023,NA,0.724,0.84375,0.741,NA,0.70734969,NA,0.93796345,0.92192445,0.84785426,NA,0.81192028,0.93887772,0.69686153,0.876,NA,0.75280187,1.0046035,1.09375,0.965,0.8644798,0.93502604,0.84507533,0.98972801,0.92220052,0.92495013,0.794,0.88765625,0.71410178,NA,NA,0.69556398,0.80630095,0.7150632,0.92554034,1.1903107,NA,0.71771978,1.0606497,0.72575506,0.95976402,0.822,0.926,NA,0.859375,0.7363588,1.3255478,0.93640378,NA,0.81830461,0.657,0.878,1.314,0.55815361,0.836,1.034,NA,NA,0.80402344,0.90438034,0.88011082,1.059,0.64240057,0.80049323,0.748,0.865,0.977,0.97654675,0.78242776,0.73460115,0.7261236
NA,NA,1.059,NA,0.861,0.8689417,0.732,NA,0.74310173,NA,0.95703125,0.88179854,0.83543578,NA,0.7297099,0.93967377,0.72553791,0.88,NA,0.7734976,0.84475875,1.09375,1.093,1.131525,0.9009979,0.86976081,1.006725,0.91151495,0.92329694,0.791,0.92568109,0.77362253,NA,NA,1.0871548,0.82098214,0.73046875,0.96551386,1.2068993,NA,0.74522569,1.0703691,0.73310077,0.9564461,0.84,0.886,NA,0.84723011,0.77274816,1.3075284,0.87380186,NA,0.80106295,0.873,0.856,1.219,0.56818427,0.881,0.964,NA,NA,0.81822053,0.87569937,0.90273261,1.056,0.65031829,0.70885549,0.691,0.958,1.005,1.0045246,0.79221025,0.75024414,0.76673541
NA,NA,0.94,NA,0.893,0.85909091,0.722,NA,0.75225515,NA,0.94816645,0.91147617,0.78984375,NA,0.6460024,0.92976788,0.72493666,0.969,NA,0.77397017,0.86853448,1.0730329,1.071,1.1418899,0.86527897,0.90087459,0.87126359,0.92802281,0.88541667,0.783,0.94003422,0.77797189,NA,NA,0.90065186,0.89391447,0.72169535,0.95769279,1.2409988,NA,0.77937659,1.0322553,0.75359786,0.95014728,0.861,0.881,NA,0.79212909,0.83995327,1.2166193,0.7878887,NA,0.84265479,1.047,0.867,1.219,0.58187181,0.995,0.936,NA,NA,0.74289773,0.88369627,0.98152105,0.985,0.69970427,0.68193247,0.679,0.918,0.968,0.96796875,0.77734375,0.76432292,0.77702159
NA,NA,0.853,NA,0.865,0.86567138,0.713,NA,0.70416667,NA,0.93168115,0.95895986,0.81998857,NA,0.85005095,0.91453394,0.74874666,1.125,NA,0.78515625,0.8254717,1.0394981,0.943,1.0515387,0.86218262,0.92028602,0.80059524,0.77450433,0.85557432,0.776,0.93158342,0.80168705,NA,NA,0.86428543,0.87425916,0.70032552,0.96088967,1.2314764,NA,0.76537361,0.96888841,0.7546274,0.96195023,0.818,0.921,NA,0.69389205,0.85851491,1.186744,0.83199035,NA,0.87492962,1.1,0.927,1.185,0.59234579,1.12,1.044,NA,NA,0.7642558,0.91461075,0.95742643,0.949,0.71999578,0.74609375,0.748,0.864,0.941,0.94091593,0.78879177,0.74102176,0.76387392
NA,NA,0.853,NA,0.891,0.90750679,0.753,NA,0.73185484,NA,0.92034217,0.94815916,0.85327609,NA,0.76224498,0.93647378,0.70703125,1.178,NA,0.84680115,0.77680496,1.0219764,1.125,1.0358072,0.81076983,0.88378906,0.8228125,0.87085099,0.83373351,0.774,0.94117647,0.7915695,NA,NA,0.90648768,0.81425498,0.69702423,0.93244966,1.1696045,NA,0.7584971,0.96726268,0.73721725,0.96484375,0.835,0.961,NA,0.6262222,0.81017736,1.2326159,0.94270306,NA,0.88461936,1.089,0.89,1.122,0.59231086,1.191,1.139,NA,NA,0.78971027,0.92554854,0.92943816,0.955,0.71206882,1.014742,0.818,0.96,0.966,0.96599823,0.76620593,0.78125,0.68271821
NA,NA,0.943,NA,0.897,0.92568194,0.81,NA,0.75737847,NA,0.92714428,0.90269886,0.82366071,NA,0.68065911,0.98035576,0.6875,1.121,NA,0.9263147,0.74061673,1.1049,1.143,1.0208075,0.80455412,0.94918647,0.94604264,1.0319563,0.84420422,0.775,0.96699781,0.796875,NA,NA,0.89661816,0.87020089,0.70478677,0.89412186,1.0326919,NA,0.75979567,1.0515354,0.72050089,0.968323,0.863,0.975,NA,0.6291748,0.72342566,1.2554977,0.87420886,NA,0.91935149,1.094,0.971,1.169,0.57469707,1.139,1.05,NA,NA,0.77585018,0.84136991,0.95302734,0.98,0.65830473,0.93516598,0.845,0.978,0.965,0.96487525,0.78653031,0.76349432,0.70635475
NA,NA,1.096,NA,0.86,0.93855042,0.811,NA,0.73844572,NA,0.96333377,0.83440421,0.8578232,NA,1.1289928,0.92123162,0.70126065,1.145,NA,0.96432292,0.83840461,1.1912248,1.087,1.0065347,0.87652396,0.95976245,1.0468169,0.79929497,0.8890625,0.779,0.98190625,0.77266809,NA,NA,0.88721793,0.90398849,0.71866319,0.8958676,1.2392615,NA,0.76413499,1.1188,0.73029798,0.9507151,0.862,0.974,NA,0.79087378,0.70217014,1.2253833,0.80729167,NA,0.92866211,1.116,0.977,1.215,0.57893771,0.979,0.949,NA,NA,0.73288893,0.87371551,0.96927401,0.944,0.61315685,0.8046875,0.822,0.944,0.947,0.94698661,0.80301339,0.76184276,0.74259868
