FB001,FB002,FB003,FB004,FB005,FB006,FB007,FB008,FB009,FB010,FB011,FB012,FB013,FB014,FB015,FB016,FB017,FB018,FB019,FB020,FB021,FB022,FB023,FB024,FB025,FB026,FB027,FB028,FB029,FB030,FB031,FB032,FB033,FB034,FB035,FB036,FB037,FB038,FB039,FB040,FB041,FB042,FB043,FB044,FB045,FB046,FB047,FB048,FB049,FB050,FB051,FB052,FB053,FB054,FB055,FB056,FB057,FB058,FB059,FB060,FB061,FB062,FB063,FB064,FB065,FB066,FB067,FB068,FB069,FB070,FB071,FB072,FB073,FB074
1.0957031,1.1145205,,,0.84813988,0.83219866,0.71168551,0.86777502,,,0.9052777,0.91005609,,,,9.8222656,0.9009341,,,0.94721799,0.85982503,1.0439086,1.126,,1.0394458,0.98846016,0.80118534,0.82312648,0.94757747,0.811,0.86519019,1.0393,,0.7201087,0.87,0.86,0.69891152,1.0759303,1.2374761,,0.77501578,,0.77485427,,0.855,0.839,,0.703125,0.81168377,1.082,1.156,,0.94,0.94548933,0.866,1.029,0.58906767,0.71043883,0.98496404,,0.95524089,0.70642361,1.014,0.762,0.89233994,0.65094031,0.89505675,0.806,0.8632318,0.5575133,0.95544897,0.86394146,0.92863089,0.68717628
1.112456,1.0709918,,,0.9051011,0.86799015,0.69857663,0.81757073,,,0.94389056,0.890625,,,,9.8222656,0.85553639,,,0.91355156,0.91234715,1.0288013,1.048,,1.0263526,0.97386798,0.81819196,0.83772321,0.95674773,0.847,0.9032269,0.96062992,,0.69681166,0.895,0.865,0.70582933,1.0450006,1.2556734,,0.77167969,,0.80010517,,0.881,0.903,,0.70963542,0.76515152,1.21,1.156,,0.963,0.9811333,0.891,1.001,0.58945313,0.62338445,1.0581613,,0.95703125,0.75185033,1.002,0.842,0.78802849,0.64498939,0.92774269,0.845,0.81914428,0.55611796,0.94910805,0.89848958,0.90036504,0.73013273
1.051494,1.0556495,,,0.82350093,0.86286458,0.80051448,0.94137301,,,0.94734502,0.90450247,,,,9.8222656,0.81106468,,,0.9154212,0.89343619,1.0177734,1.169,,1.0020461,0.99932065,0.76855936,0.88222389,0.92134233,0.915,0.91220869,1.0179171,,0.65769159,0.915,0.786,0.75132243,1.0727447,1.1905242,,0.74629407,,0.78950508,,0.867,0.865,,0.72195567,0.74476396,1.155,1.048,,0.965,1.0069712,0.878,0.995,0.55859375,0.68957959,1.0397111,,0.94921875,0.77462891,1.001,0.894,0.72116206,0.72291101,0.89515233,0.829,0.87264994,0.56826509,0.93188275,0.85420049,0.91812029,0.74828603
1.0582956,1.0908272,,,0.78053977,0.82577055,0.78962054,0.90412863,,,0.95465139,0.91411195,,,,9.8222656,0.83768984,,,0.94207918,0.88037557,1.0236919,1.182,,1.032435,0.97907582,0.81407752,0.88177197,0.91998106,0.885,0.87947163,1.0032649,,0.696875,0.896,0.858,0.77258487,1.0600586,1.1745101,,0.74344825,,0.81308218,,0.88,0.921,,0.72036345,0.75730651,1.107,0.967,,0.979,0.95300293,0.879,1.003,0.56575521,0.56227022,1.046317,,0.9463617,0.76282916,0.996,0.89,0.75503426,0.74609375,0.86284722,0.774,0.93974698,0.58519848,0.94790572,0.87154919,0.88770767,0.68642893
1.1123047,1.0048942,,,0.86450893,0.83703271,0.77908203,0.59491243,,,0.97626681,0.86527665,,,,9.8222656,0.82767497,,,0.94378537,0.9013587,1.0233632,0.973,,0.99736555,0.96391901,0.81783002,0.91605903,0.93254333,0.87,0.86328125,0.91655816,,0.73294132,0.887,0.887,0.72662139,1.0048644,1.2662481,,0.78095556,,0.79721142,,0.911,0.956,,0.74273353,0.76171875,1.211,0.971,,1.007,0.95145566,0.926,1.008,0.59320675,0.56470788,1.0848735,,0.96356275,0.8125,0.976,0.925,0.97430346,0.71234866,0.87855114,0.751,0.92835225,0.55897091,0.87205826,0.86574009,0.91621707,0.64704241
1.1423969,1.0541088,,,0.85068895,0.84776327,0.92485867,0.91180737,,,0.95288968,0.86633358,,,,9.8222656,0.75191445,,,0.9443562,0.84207589,0.9948216,0.987,,0.98985635,0.97363281,0.78985164,0.92005429,0.90848915,0.88,0.8605239,0.972966,,0.69767736,0.902,0.9,0.69054555,0.9985625,1.1435487,,0.75909515,,0.78822545,,0.885,0.943,,0.70290236,0.75190304,1.243,0.937,,0.97,0.9765625,0.924,1.027,0.59625401,1.0063029,1.0740927,,0.95370133,0.79880934,0.96,0.948,0.99175689,0.71056858,0.90865385,0.781,0.90205121,0.5625,0.85080295,0.83984375,0.91505142,0.60487913
1.154071,1.0170718,,,0.80474523,0.83095749,0.81097737,0.99022678,,,0.95664062,0.88562012,,,,9.8222656,0.71913007,,,0.90079416,0.88246681,0.96490675,1.039,,1.0217322,0.925625,1.0229237,0.87994792,0.90234375,0.889,0.85259233,1.0534467,,0.646121,0.884,0.891,0.67142601,1.0235423,1.1885653,,0.73562168,,0.80078125,,0.902,0.918,,0.69642545,0.7650699,1.183,0.852,,0.91,0.9319375,0.912,1.078,0.58438028,0.65355603,1.0530338,,0.95626594,0.76468279,0.948,0.879,0.97716465,0.72785762,0.85770341,0.785,0.94051996,0.5640625,0.91363605,0.85663154,0.88733824,0.62439123
1.1310822,0.97496995,,,0.84358016,0.8521984,0.67238581,0.82462412,,,0.96361517,0.84592814,,,,9.8222656,0.76550164,,,0.83278509,0.85756138,0.98158028,0.94,,0.97712054,0.94149117,1.1776107,0.88566905,0.93779297,0.898,0.79591287,0.93781479,,0.65415569,0.849,0.821,0.69184763,1.0005198,1.2059044,,0.75552542,,0.7714348,,0.887,0.939,,0.71941208,0.78515625,1.104,0.762,,0.933,0.86348243,0.909,1.044,0.5997362,0.68635671,1.0817397,,0.95501409,0.78777384,0.975,0.848,0.89847162,0.70225694,0.83804799,0.783,0.93058402,0.54698504,0.93228635,0.83065878,0.94764031,0.63961848
1.0292595,1.0333992,,,0.890625,0.83737571,0.71160183,0.87312423,,,0.90934642,0.8160061,,,,9.8222656,0.80644624,,,0.83544466,0.80081955,0.99786377,0.941,,1.0242482,0.96014031,1.2045531,0.85947871,0.9612392,0.909,0.861185,0.91148098,,0.70716074,0.859,0.727,0.71806319,1.0051926,1.1835682,,0.7405364,,0.78302734,,0.871,0.972,,0.69773481,0.75773476,1.162,0.807,,0.931,0.88311852,0.844,0.913,0.59729646,0.82636336,1.1024383,,0.95868267,0.77660891,0.998,0.901,0.94570975,0.68921875,0.87073864,0.894,0.88668522,0.5500558,0.90926924,0.82416295,0.8828125,0.73105244
1.1157534,0.96174823,,,0.82863898,0.83203125,0.92912487,0.79719211,,,0.87114537,0.8671875,,,,9.7974732,0.7770936,,,0.83329665,0.85571039,0.98751532,0.945,,1.0110294,0.93803989,0.98084923,0.79089529,0.96117472,0.8,0.85840281,0.93953659,,0.70403787,0.887,0.801,1.0793641,1.056112,1.1836593,,0.72127632,,0.78801306,,0.883,0.945,,0.69630561,0.6953125,1.149,0.853,,0.926,0.96818296,0.781,0.945,0.57185374,0.83286701,1.0506846,,0.953125,0.73853059,1.003,0.917,0.98918269,0.6953125,0.84758681,0.919,0.91677761,0.5483156,0.95025712,0.85771618,0.89276825,0.74338329
