"FB001","FB002","FB003","FB004","FB005","FB006","FB007","FB008","FB009","FB010","FB011","FB012","FB013","FB014","FB015","FB016","FB017","FB018","FB019","FB020","FB021","FB022","FB023","FB024","FB025","FB026","FB027","FB028","FB029","FB030","FB031","FB032","FB033","FB034","FB035","FB036","FB037","FB038","FB039","FB040","FB041","FB042","FB043","FB044","FB045","FB046","FB047","FB048","FB049","FB050","FB051","FB052","FB053","FB054","FB055","FB056","FB057","FB058","FB059","FB060","FB061","FB062","FB063","FB064","FB065","FB066","FB067","FB068","FB069","FB070","FB071","FB072","FB073","FB074"
1.2107538,1.0857094,1.0074153,0.77687027,0.74766885,0.94274554,NA,NA,NA,NA,0.9765625,0.85426683,0.8508113,NA,NA,0.95384838,0.78783312,NA,NA,NA,0.9328915,0.94172908,1.063,0.807,1.0066942,NA,0.88810764,0.88034539,0.91320345,0.85003382,0.98181679,0.92949539,NA,0.734188,0.898,0.87326766,0.73177083,0.96022727,1.1530366,0.554,0.78474507,1.091,0.79,0.87921737,0.84865874,NA,0.56,0.778,0.74165963,0.963,0.873,0.718,NA,0.93460771,0.765,0.919,0.564,0.79,1.028,NA,0.90606399,0.75791065,NA,0.84994104,0.886,0.6561602,0.80605279,0.78417969,NA,0.517,0.86953816,0.74822071,0.87224986,0.7012919
1.2074908,1.1336097,0.99496528,0.78966496,0.76759959,0.88995974,NA,NA,NA,NA,0.92630955,0.81897425,0.84765625,NA,NA,0.96140438,0.82998512,NA,NA,NA,0.84668395,0.87462408,1.128,0.805,1.014343,NA,0.92215758,0.87034801,0.89413371,0.87978639,0.9695437,0.92898033,NA,0.67964385,0.865,0.77115885,0.74633917,0.97265625,1.1728791,0.603,0.71644981,1.035,0.766,0.8729589,0.79531617,NA,0.589,0.789,0.77613281,0.995,0.892,0.719,NA,0.9718372,0.755,0.915,0.574,0.737,1.02,NA,0.9093121,0.80188643,NA,0.85255682,0.851,0.62662558,0.85038154,0.75708138,NA,0.513,0.8651066,0.74656169,0.87330614,0.78192935
1.1832682,1.0281675,0.87061738,0.76006389,0.87793676,0.88380208,NA,NA,NA,NA,0.82869578,0.76776775,0.81743232,NA,NA,0.89867948,0.80059871,NA,NA,NA,0.984375,0.75686553,1.099,0.761,1.0053486,NA,0.90900735,0.87079992,0.8696733,0.86528384,0.84075731,0.947879,NA,0.63125941,0.862,0.83672626,0.74384715,0.95825489,1.1932903,0.554,1.040615,0.965,0.798,0.8828125,0.82176813,NA,0.528,0.775,0.71440972,1.013,0.898,0.737,NA,0.94178125,0.779,0.98,0.573,0.852,1.096,NA,0.87976648,0.79047781,NA,0.79215656,0.845,0.61760515,0.866875,0.81625078,NA,0.512,0.92764137,0.72959141,0.86219618,0.78795422
1.1302174,1.0499792,0.7859375,0.76792869,0.82371192,0.87135074,NA,NA,NA,NA,0.80617187,0.86303039,0.74653673,NA,NA,0.95597029,0.76592395,NA,NA,NA,1.064403,0.92314967,1.036,0.788,0.94393921,NA,0.8764346,0.84834559,0.86542166,0.82592599,0.78576172,0.89359889,NA,0.6303066,0.899,0.79159327,0.73500504,0.98008295,1.1484244,0.582,0.93967241,0.911,0.781,0.86262445,0.76820273,NA,0.49,0.802,0.74869792,1.063,0.828,0.712,NA,0.89644173,0.83,0.942,0.621,0.725,1.071,NA,0.89121622,0.728125,NA,0.85729644,0.948,0.62895508,0.80963303,0.85012901,NA,0.531,0.89333678,0.7358871,0.890625,0.73092831
1.1771561,1.0507813,0.96544845,0.80779345,0.65975902,0.80907534,NA,NA,NA,NA,0.88790358,0.91130515,0.7203001,NA,NA,0.94277659,0.77845416,NA,NA,NA,0.93619792,0.97878778,0.961,0.785,0.98654514,NA,0.88449411,0.79947917,0.832288,0.79672454,0.84722222,0.90693316,NA,0.72789727,0.913,0.73988564,0.76682079,1.0093444,1.0996925,0.59,0.66134412,0.922,0.788,0.87679186,0.765625,NA,0.496,0.781,0.78241989,1.17,0.852,0.759,NA,0.9196841,0.84,0.934,0.625,0.687,0.97,NA,0.93215797,0.73877728,NA,0.84071959,0.926,0.62109375,0.846875,0.78918087,NA,0.527,0.873346,0.75707237,0.8827611,0.74158813
1.0620246,0.9624332,1.1159123,0.79769737,0.89303977,0.84784963,NA,NA,NA,NA,0.83996212,0.847058,0.74266539,NA,NA,0.95383523,0.77491918,NA,NA,NA,1.0927037,0.92045879,0.886,0.807,1.0553786,NA,0.90337171,0.7757734,0.90186192,0.76673289,0.89609375,0.98352364,NA,0.84520683,0.894,0.75182575,0.77539063,0.97641226,1.0757448,0.51,0.65334679,0.954,0.795,0.89760785,0.70631378,NA,0.545,0.802,0.74154935,1.263,0.886,0.726,NA,0.94438088,0.782,0.964,0.599,0.735,0.996,NA,0.91526813,0.73931885,NA,0.82004703,0.844,0.62384532,0.91332799,0.8530566,NA,0.536,0.9369594,0.76741704,0.91661458,0.74308737
1.1111611,1.0273759,0.94409096,0.74864635,0.85923092,0.90278341,NA,NA,NA,NA,0.92200855,0.89393316,0.78926282,NA,NA,1.0253906,0.7246293,NA,NA,NA,1.0391323,0.90569196,0.913,0.829,1.0202013,NA,0.89544046,0.80222874,0.95445344,0.77814099,0.87494883,0.93618762,NA,0.78548692,0.884,0.81963901,0.74212771,0.97871492,0.88578069,0.554,0.68426042,0.947,0.937,0.90116004,0.75851691,NA,0.606,0.784,0.71015625,1.223,0.89,0.715,NA,0.87315136,0.74,0.938,0.615,0.73,1.041,NA,0.91832386,0.71091639,NA,0.85198629,0.784,0.62771739,0.86881656,0.84209872,NA,0.543,1.0039063,0.81509775,0.89782766,0.70257943
1.0617514,1.055852,1.1080133,0.77422268,0.70249757,0.9079674,NA,NA,NA,NA,0.97268738,0.94921875,0.89286256,NA,NA,0.97386498,0.75750573,NA,NA,NA,0.91637677,0.97378577,1.086,0.793,0.98841912,NA,0.80127427,0.86156542,0.91488314,0.74630546,0.91087767,0.85990767,NA,0.68513132,0.896,0.7213296,0.71866508,0.98269207,0.96248338,0.663,0.73940349,0.893,0.963,0.8828125,0.85116092,NA,0.602,0.741,0.7484039,1.197,0.875,0.734,NA,0.85818692,0.754,0.902,0.614,0.625,1.019,NA,0.95021186,0.76248389,NA,0.82794074,0.757,0.62148437,0.86002007,0.78068148,NA,0.535,0.95332259,0.83511224,0.89473594,0.7515121
0.94995026,1.0326482,1.0763232,0.77658642,0.8546947,0.92032252,NA,NA,NA,NA,0.94229772,0.88485404,0.81000906,NA,NA,0.8747306,0.82341797,NA,NA,NA,1.06042,0.98582234,1.16,0.802,0.90364583,NA,0.71293263,0.89884039,0.89876445,0.69170027,0.92170878,0.89698562,NA,0.65358346,0.889,0.86532315,0.72133282,0.94324265,1.3067331,0.685,0.72019361,0.947,0.884,0.8828125,0.86580256,NA,0.616,0.751,0.82333012,1.234,0.9,0.706,NA,0.86667951,0.781,0.958,0.595,0.651,1.076,NA,0.94563268,0.77498453,NA,0.8372149,0.932,0.63865989,0.89119538,0.80780118,NA,0.549,0.92424192,0.88985835,0.91411237,0.7734375
0.98687299,1.1240346,0.92823864,0.74220693,0.86458333,0.94469142,NA,NA,NA,NA,0.95774148,0.80124081,0.87003801,NA,NA,0.82590061,0.84765625,NA,NA,NA,1.0334329,1.0073751,1.076,0.804,0.97272695,NA,0.72390625,0.94921875,0.9140625,0.75876376,0.90507139,0.9530456,NA,0.7156808,0.857,0.83420139,0.74603108,0.94209559,1.2327686,0.565,0.71988407,0.991,0.811,0.88965708,0.7870038,NA,0.623,0.768,0.77235991,1.191,0.92,0.743,NA,0.7945122,0.796,1.113,0.588,0.737,1.182,NA,0.9295562,0.7286163,NA,0.88363211,0.972,0.65094031,0.84221117,0.7767721,NA,0.556,0.97314257,0.90512674,0.89360201,0.7389497
