"FB001","FB002","FB003","FB004","FB005","FB006","FB007","FB008","FB009","FB010","FB011","FB012","FB013","FB014","FB015","FB016","FB017","FB018","FB019","FB020","FB021","FB022","FB023","FB024","FB025","FB026","FB027","FB028","FB029","FB030","FB031","FB032","FB033","FB034","FB035","FB036","FB037","FB038","FB039","FB040","FB041","FB042","FB043","FB044","FB045","FB046","FB047","FB048","FB049","FB050","FB051","FB052","FB053","FB054","FB055","FB056","FB057","FB058","FB059","FB060","FB061","FB062","FB063","FB064","FB065","FB066","FB067","FB068","FB069","FB070","FB071","FB072","FB073","FB074"
1.1494631,1.1501946,1.0472477,0.87665667,0.83751619,NA,0.74414063,NA,0.63317419,NA,0.94005036,0.84682049,NA,NA,NA,NA,0.75524958,NA,2.2503551,1.0807104,NA,1.0077821,1.2801025,NA,1.0113676,1.0968975,0.87510557,1.0279334,0.98284715,2.53125,0.92958861,1.0539121,NA,0.84639527,0.86265346,0.89812911,0.75859375,0.97775958,NA,NA,0.84375,NA,0.791,NA,0.80085784,0.94312238,NA,0.67198989,0.8099474,1.0735329,0.94536195,NA,0.93224222,0.99931641,0.97582721,1.0205353,0.59765625,0.482,NA,NA,0.95205676,0.77879409,0.96127584,0.83576601,0.87564507,0.73186233,0.93945313,NA,1.016875,0.57218644,1.0536008,0.79818979,0.9075302,0.85508164
1.1289784,1.1359797,0.89256084,0.8954012,1.0407275,NA,0.80387952,NA,0.6515625,NA,0.93461914,0.88369627,NA,NA,NA,NA,0.94140625,NA,1.7049006,1.0584789,1.0709635,1.0424237,1.1784287,NA,0.96273922,1.0945202,0.8916184,0.8439851,1.0056046,1.84375,0.9719002,1.096212,NA,0.86734531,0.88164062,0.92586472,1.0275391,1.0615741,1.2810764,1.3641466,0.79339418,NA,0.766,NA,0.84968308,0.9634375,NA,0.71153846,0.86695772,1.0948305,0.9609375,NA,0.9675333,0.99062803,0.94181578,1.0951179,0.59474571,1.097,NA,NA,0.95150415,0.74933209,0.95637487,0.88805084,0.97110666,0.71223958,0.9172526,NA,0.98719287,0.5625,1.0883146,0.83268229,0.87160549,0.78570616
1.132452,1.1353082,1.0105699,0.89313859,0.8984375,NA,0.86093525,NA,0.70497992,NA,0.9746012,0.91567888,NA,NA,NA,NA,0.9304493,NA,1.159446,1.0333874,0.96253614,1.0540291,1.2913855,NA,1.0257972,1.0532048,0.87784573,0.89662937,0.97733168,1.15625,0.98383461,0.99517463,NA,0.7612032,0.90266504,0.87960322,0.83327862,1.1074494,1.2307514,1.4003414,0.8233631,NA,0.804,NA,0.90141451,0.93841912,NA,0.70178023,0.88724754,1.171721,0.91236344,NA,0.99867249,1.0230206,0.96919129,1.0690104,0.57691904,1.414,NA,NA,0.96055948,0.77848904,0.97417092,0.83450704,0.95633748,0.72594348,0.87710069,NA,0.90351096,0.57469707,1.0575337,0.85021861,0.85657549,0.76675842
1.1595233,1.1381319,1.137784,0.87562223,0.86132813,NA,0.83239669,NA,0.74001963,NA,0.96484375,0.89201536,NA,NA,NA,NA,0.88144189,NA,2.0437642,1.0113431,0.95032773,1.0442274,1.2529268,NA,0.9749053,1.0182644,0.89923922,0.89136584,0.97371584,2.0016984,0.96242409,0.95008681,NA,0.74292064,0.89958244,0.83058036,0.68402525,1.0828015,1.2908546,1.3782118,0.81397406,NA,0.789,NA,0.8938969,0.95703125,NA,0.69526836,0.82692849,1.2399918,0.90272818,NA,0.98676471,0.93252436,0.92953125,0.9866316,0.59765625,1.508,NA,NA,0.94921875,0.77667298,1.0048125,0.87637247,0.86432292,0.7545607,0.87735421,NA,0.95470121,0.5859375,1.1011697,0.8318314,0.85116348,0.79217961
1.1655388,1.1277844,1.0437667,0.88133446,0.9245512,NA,0.8219281,NA,0.70711436,NA,0.93035442,0.86293403,NA,NA,NA,NA,0.86274858,NA,1.90625,0.93962331,0.9536927,1.0263635,1.1399885,NA,1.0086001,1.0321311,0.83258929,0.8685966,0.998,2.490087,0.94736168,0.98260789,NA,0.76597671,0.87109375,0.87624124,0.74971517,1.0085881,1.1697209,1.2837674,0.75250303,NA,0.784,NA,0.9007536,0.94698661,NA,0.69951923,0.74860491,1.1814826,0.93194339,NA,0.98815524,0.8738863,0.89992717,1.0006688,0.58777574,1.453,NA,NA,0.96328447,0.76034576,0.95161095,0.88783492,0.81338206,0.73623512,0.88470486,NA,0.93720703,0.57437711,0.98447249,0.81640625,0.85118448,0.8001019
1.2859034,1.1032986,1.0441826,0.88486842,0.83554193,NA,0.81640625,NA,0.71764606,NA,0.94793315,0.87082741,NA,NA,NA,NA,0.84644215,NA,1.3834074,0.90630073,0.96020872,0.98157204,1.0829157,NA,0.93633868,1.0026193,0.76865898,0.86452024,0.96706286,2.4979486,0.92141544,0.95071138,NA,0.75168135,0.88347814,0.88671875,0.7429033,1.0207825,1.1679579,1.2625096,0.786875,NA,0.94,NA,0.88574219,0.90894678,NA,0.67689732,0.74956597,1.042324,0.9847811,NA,1.0076932,0.97114415,0.9813058,0.96850394,0.57558201,1.324,NA,NA,0.96146875,0.73366477,0.96383786,0.86313894,0.85358297,0.6953125,0.89694039,NA,0.90200988,0.57986698,0.9503739,0.80052083,0.84928238,0.77885073
1.3647125,1.0035706,1.1246461,0.82860896,0.90975216,NA,0.92972488,NA,0.72543118,NA,0.95703125,0.85191761,NA,NA,NA,NA,0.84110915,NA,1.5853834,0.94912109,0.98878083,0.96277297,1.1821849,NA,1.0029707,0.99948643,0.86023509,0.81352607,0.96023597,2.434386,0.9069095,0.85511038,NA,0.69186156,0.90071332,0.77660635,0.72054812,1.0471285,1.2995866,1.3248981,0.82627467,NA,0.962,NA,0.88274336,0.91039823,NA,0.68619792,0.766761,1.0867892,0.96234251,NA,0.97206487,1.0037079,0.91681691,0.91231142,0.58090394,1.197,NA,NA,0.95616319,0.76953125,0.97186306,0.87586107,0.96038173,0.71221032,0.81747622,NA,0.75500239,0.57492187,0.99018689,0.78534868,0.85532134,0.81273205
1.2297262,1.0505199,1.156005,0.86662444,0.92285156,NA,0.84740823,NA,0.71768852,NA,0.93803711,0.82517149,NA,NA,NA,NA,0.85127315,NA,2.0824773,0.99527867,1.0020071,0.97816629,1.1511255,NA,0.96929718,1.0776314,0.86096138,0.8195503,0.97103659,2.1473345,0.91598224,0.91833496,NA,0.6650879,0.88340436,0.86733285,0.70877935,1.0122706,1.2575351,1.3603051,0.81041061,NA,0.861,NA,0.87209671,0.95911568,NA,0.68699808,0.75097161,1.0965642,0.8991997,NA,0.93128189,1.0311763,0.96057079,0.95885969,0.58192638,1.144,NA,NA,0.95595147,0.75133551,0.9532822,0.91513413,0.93479318,0.73030253,0.86951014,NA,0.71699966,0.5625,0.92875383,0.81734076,0.86626325,0.77795759
1.1643611,1.0468021,1.0087627,0.86203835,0.87531672,NA,0.62517149,NA,0.69206093,NA,0.94835069,0.86692708,NA,NA,NA,NA,0.88634348,NA,1.594588,0.99140518,0.98087685,1.0122634,1.1375662,NA,0.93873698,1.0483164,0.82570503,0.86544744,0.95176017,1.860283,0.94074136,1.0458947,NA,0.76141134,0.86532157,0.90406115,0.70792289,0.97229146,1.1364947,1.265067,0.79974215,NA,0.763,NA,0.88805465,0.97549573,NA,0.70288495,0.78556961,1.0976563,0.9600867,NA,0.85975192,0.99747243,0.96104644,1.0234429,0.56842581,1.2,NA,NA,0.95847208,0.73014413,0.91993711,0.86081502,0.84016777,0.69639521,0.87619792,NA,0.85173234,0.57190194,0.93885896,0.81670387,0.84569429,0.73549701
1.1356824,1.0430708,1.0109127,0.84548416,0.9132949,NA,0.79462361,NA,0.68004464,NA,0.93751621,0.82161458,NA,NA,NA,NA,0.8215779,NA,1.1442409,0.94958124,0.91569712,1.0121394,1.2237033,NA,1.004781,0.96900202,0.86205717,0.88190843,0.93081276,2.1163327,0.92680166,1.0490019,NA,0.75234618,0.89013009,0.82421875,0.69542161,0.99758034,1.3335172,1.1511949,0.80904665,NA,0.762,NA,0.87897792,0.9236875,NA,0.70468323,0.83760901,1.0015708,0.98795024,NA,0.84654547,1.0150541,0.89524003,1.0464879,0.5664605,1.252,NA,NA,0.96662221,0.76494739,0.94938622,0.89852279,0.80911075,0.70403646,0.86727508,NA,0.9944458,0.57959312,0.9831543,0.84204102,0.84865969,0.73828125
1.1268247,1.0393258,0.97304687,0.84079187,0.86928711,NA,0.91398591,NA,0.69335938,NA,0.91796875,0.74916566,NA,NA,NA,NA,0.79874153,NA,1.0259977,0.92040207,0.89907532,0.96701556,1.1691603,NA,0.92609574,0.97717432,0.79015343,0.88068993,0.95350922,2.5649104,0.94415571,0.92759146,NA,0.66148897,0.89476902,0.81646455,0.68263938,1.0137555,1.1173789,1.1565232,0.7905649,NA,0.799,NA,0.91584109,0.94871363,NA,0.65925481,0.79186321,1.1487404,0.98117507,NA,0.88162287,1.0080396,0.94891907,1.056706,0.57998637,1.276,NA,NA,0.9538653,0.75983574,0.9660203,0.93078512,0.89744718,0.72060707,0.8690761,NA,0.93482051,0.56662029,0.92019127,0.83502783,0.82477946,0.70703125
1.1069472,1.0810033,0.85315979,0.87610853,0.84367452,NA,0.83337009,NA,0.69678819,NA,0.92554854,0.82401117,NA,NA,NA,NA,0.84530492,NA,2.1857789,0.88922146,1.0055051,0.97165587,1.0863835,NA,0.98737861,1.0153556,0.83955169,0.93560555,0.9760625,1.9193259,0.96621492,0.87593177,NA,0.64405196,0.85886242,0.8984375,0.69650921,0.96717248,1.2133645,1.1738669,0.77461751,NA,0.783,NA,0.89167668,0.98483737,NA,0.65079066,0.75008311,1.2667956,0.95511766,NA,0.96441355,1.0107384,0.92467702,1.0485777,0.57033907,1.28,NA,NA,0.96188593,0.72972374,0.968125,0.87549268,1.0069409,0.70259997,0.88898801,NA,0.85557676,0.56422094,0.983125,0.8136268,0.86063508,0.64975499
1.1071328,1.0154564,0.93249409,0.87890625,0.90710227,NA,0.72544321,NA,0.70882071,NA,0.93511735,0.89235343,NA,NA,NA,NA,0.86658381,NA,2.6918016,0.89673837,1.1892101,0.98371611,1.0992948,NA,1.0136199,0.98235987,0.83540483,0.94539255,0.96424521,1.2199301,0.94317036,0.99619391,NA,0.7094184,0.85451027,0.87211277,0.73945933,0.96375957,1.2062667,1.1638927,0.80337252,NA,0.78,NA,0.9115625,0.94585289,NA,0.78602099,0.765625,1.2613636,0.91487151,NA,0.98412298,0.98803519,0.87913353,1.0345228,0.5625,1.268,NA,NA,0.95820154,0.76364183,0.94247601,0.90633492,1.0351563,0.70242275,0.94899914,NA,0.91363418,0.56461366,0.97912598,0.82116008,0.85023717,0.6755416
1.1377972,1.0314331,0.99036357,0.80352515,0.89883814,NA,0.7589422,NA,0.74578373,NA,0.93316522,0.88365436,NA,NA,NA,NA,0.79067888,NA,3.139486,0.94115691,1.2660428,0.93936012,1.1707238,NA,0.95615599,0.96721597,0.81482054,0.94421032,0.92145944,1.1432565,0.91689453,1.00623,NA,0.72275905,0.87766256,0.8101641,0.73453947,0.97537639,1.1764212,1.1643,0.80754207,NA,0.743,NA,0.91853151,0.92260438,NA,0.8039222,0.76751894,1.1822203,0.95523392,NA,0.98046875,0.88403428,0.8809997,1.09375,0.58649554,1.248,NA,NA,0.96401467,0.76609848,0.95577221,0.88631981,1.0124705,0.72715693,0.94088341,NA,0.95532526,0.551834,0.95089286,0.79860058,0.87722693,0.77387153
1.0718061,1.0481379,0.87862723,0.85903917,0.95132091,NA,0.79717548,NA,0.74235026,NA,0.95202282,0.91747384,NA,NA,NA,NA,0.76841518,NA,3.137154,0.94185451,1.1452502,0.94666839,1.1362023,NA,1.0290701,0.98377046,0.8570203,0.95745093,0.94119641,1.7298692,0.95195646,1.3146541,NA,0.65905559,0.87188883,0.88208781,0.72290963,0.92242188,1.2600499,1.1974571,0.76068359,NA,0.766,NA,0.89213763,0.9575574,NA,0.73317761,0.76107108,1.0112525,0.98832753,NA,0.9453125,0.84940859,0.972553,1.0899833,0.58557533,1.226,NA,NA,0.96484375,0.71220602,0.97507813,0.8854345,0.92089844,0.70164931,0.84389468,NA,0.91723233,0.5625,1.0119332,0.82317965,0.86813395,0.78428199
1.1578468,0.99385746,0.97363281,0.85449669,0.72917386,NA,0.79617884,NA,0.74601151,NA,0.95166413,0.93946927,NA,NA,NA,NA,0.80934343,NA,2.8908372,0.96197917,0.92786043,1.0012207,1.0723518,NA,0.97796434,0.97645356,0.81571691,0.98018293,0.92149591,2.0105659,0.94913837,1.3996223,NA,0.63671875,0.84403153,0.82861968,0.73522239,0.9103239,1.3527895,1.2236009,0.71329796,NA,0.766,NA,0.89581059,0.96355217,NA,0.68359375,0.71873007,1.1752037,0.9833645,NA,0.94715263,0.91603246,1.0122681,1.073007,0.5703125,1.209,NA,NA,0.95350455,0.71629525,0.95522716,0.92329545,0.90890067,0.69988459,0.84938436,NA,0.89019097,0.55582682,1.0111607,0.85128741,0.89067662,0.73086532
1.195009,1.0616529,1.1587547,0.81827984,0.89913313,NA,0.80533222,NA,0.76945029,NA,0.93524019,0.89306641,NA,NA,NA,NA,0.88354953,NA,2.6445204,0.93340474,0.87881541,1.0159255,1.2524989,NA,1.0266457,0.98075574,0.83303095,0.95808532,0.91438104,1.7777311,0.9458936,0.94464603,NA,0.65848214,0.86731067,0.77510619,0.71574198,0.93132878,1.2548068,1.2406822,0.75274051,NA,0.765,NA,0.91125801,0.91216805,NA,0.67810268,0.70807874,1.1930306,0.93461304,NA,0.96978957,0.95457963,0.95220853,1.1052617,0.57935717,1.142,NA,NA,0.9765,0.74976774,0.94360384,0.90647978,0.99894068,0.72578984,0.87409033,NA,0.88476563,0.55724582,0.96498666,0.84168735,0.90692576,0.69629452
