FB001,FB002,FB003,FB004,FB005,FB006,FB007,FB008,FB009,FB010,FB011,FB012,FB013,FB014,FB015,FB016,FB017,FB018,FB019,FB020,FB021,FB022,FB023,FB024,FB025,FB026,FB027,FB028,FB029,FB030,FB031,FB032,FB033,FB034,FB035,FB036,FB037,FB038,FB039,FB040,FB041,FB042,FB043,FB044,FB045,FB046,FB047,FB048,FB049,FB050,FB051,FB052,FB053,FB054,FB055,FB056,FB057,FB058,FB059,FB060,FB061,FB062,FB063,FB064,FB065,FB066,FB067,FB068,FB069,FB070,FB071,FB072,FB073,FB074
1.0762146,1.0943435,,0.76632974,0.78211806,0.9634979,0.81976071,,0.6949533,,0.96316057,0.86625744,0.78575721,,,0.99197471,0.88002973,,,0.97265625,0.8819839,1.0681583,1.1214923,0.79897837,1.0448845,0.97082078,0.65310202,0.91781915,0.86787373,1.7207031,0.92260328,0.96116121,,0.71643132,,0.82421875,0.7630014,0.859375,1.0858355,0.573,0.73535156,0.99099392,0.81065956,0.90254407,0.92398877,0.95889668,1.1032561,0.786,0.77620443,1.1186799,0.90512235,,0.95467459,0.96207883,0.868,,0.60566406,,1.1061384,,0.94356921,0.85129372,0.83458605,0.85112442,0.76775016,0.6467803,0.90419408,0.81934061,0.90601529,0.54067595,0.96688988,0.85389912,0.91379541,0.73840658
1.0873465,1.0648148,,0.79296875,0.76698681,0.96522177,0.82241587,,0.69635417,,0.99926758,0.87351597,0.80078125,,,0.92150298,0.81258681,,,0.965032,0.90360383,1.0496693,1.0550072,0.79472656,0.94324277,0.9296875,0.67229857,0.9155649,0.88380208,1.6781294,0.93000066,1.0575857,,0.65993046,,0.75529234,0.71844323,0.86773544,1.1596631,0.51,0.72261332,1.0185811,0.81410402,0.83395687,0.89428609,0.97111265,1.1194694,0.758,0.78616182,0.98180715,0.85292982,,1.0208731,0.91970136,0.822,,0.57699008,,1.0850087,,0.93860677,0.81953125,0.85328852,0.87232545,0.77562268,0.63088349,0.84156115,0.75959821,0.87056108,0.55177859,0.94866536,0.82866188,0.88322732,0.76475016
1.0593721,1.1277209,,0.79920336,0.77184061,0.93549152,0.82507102,,0.67709847,,0.98812746,0.86004364,0.76929087,,,0.83026825,0.80859375,,,0.93648727,0.97138074,1.0103383,0.95335478,0.79062609,0.98877363,0.85026042,0.71388355,0.91463937,0.88915381,1.2042658,0.94275156,0.98223518,,0.67846246,,0.84999234,0.70533854,0.90157278,1.1011622,0.562,0.7422495,1.0326891,0.80547249,0.85614966,0.91423534,0.95609749,1.1091851,0.742,0.74515705,1.00755,0.81205929,,0.99996972,0.95069633,0.782,,0.59405839,,1.0402183,,0.94276776,0.74175347,0.85496932,0.84047154,0.8728585,0.61436907,0.76626933,0.74099682,0.92834109,0.55394476,0.96844952,0.85215929,0.90065735,0.71202613
1.0677799,1.0656519,,0.77636228,0.8279711,0.92200742,0.80246938,,0.66911093,,0.95005466,0.82547764,0.82462993,,,0.83727732,0.81108469,,,0.91912059,0.96543513,0.99454048,0.93112847,0.76502929,1.0370325,0.88149889,0.66145089,0.88242885,0.85781957,0.98442547,0.94214876,0.98690073,,0.79762387,,0.86415709,0.72456645,0.90783228,1.0552258,0.587,0.75870479,1.0195614,0.77946372,0.87436655,0.91411237,0.89257813,1.0580157,0.74,0.74451417,1.0998404,0.76263428,,0.95872823,0.97466473,0.808,,0.6000252,,1.0376032,,0.94371449,0.73991738,0.84287753,0.89423782,0.86815092,0.61974253,0.83963516,0.77558992,0.92534722,0.54642536,0.9282756,0.83036977,0.92655604,0.671875
1.0970839,1.0799489,,0.77130316,0.82191129,0.93893229,0.84406773,,0.66833002,,0.95578763,0.84998183,0.8039026,,,0.91557513,0.79061379,,,0.9095629,0.99143814,1.0150888,1.0609041,0.74777902,0.95631168,0.88442708,0.61406741,0.91942935,0.85898079,1.1351172,0.95572917,0.97744256,,0.76323682,,0.75508626,0.74161184,0.88077295,1.1681568,0.526,0.76143243,1.0450889,0.80704672,0.8828125,0.87186796,0.94832357,1.0629456,0.681,0.79578355,1.1322126,0.87125727,,0.99146469,0.9293125,0.823,,0.57909501,,1.0267293,,0.93591157,0.70819665,0.86135406,0.93817794,0.82789099,0.60967168,0.88911458,0.74150391,0.85608553,0.54801086,0.90303512,0.8244452,0.90225809,0.69106559
0.97553381,1.0820313,,0.79934513,0.84217278,0.94643315,0.81444378,,0.64117283,,0.9411812,0.87140765,0.79891558,,,0.90297489,0.79844147,,,0.88968682,0.91937682,1.0250267,1.0569605,0.76585386,1.0587706,0.93522135,0.65105784,0.93698347,0.87883555,1.1511447,0.9825625,0.92842187,,0.67418732,,0.84898834,0.73105053,0.88918403,1.0734271,0.512,0.76524633,1.0087554,0.79833063,0.89428927,0.92801576,0.95782199,0.95915179,0.674,0.76169932,1.0195846,0.92901484,,0.97012414,0.96596928,0.929,,0.58802083,,0.99511719,,0.93178834,0.76056609,0.88855288,0.88098958,0.78715845,0.60394683,0.84898676,0.7633784,0.8984375,0.53693954,0.94456449,0.83529863,0.92004654,0.73135081
0.98246951,1.0820313,,0.82492378,0.75401278,0.91183275,0.79745514,,0.64997633,,0.92283061,0.83155617,0.81757061,,,0.975,0.83423195,,,0.87508604,0.95486111,0.99677958,1.0237199,0.78002391,1.0161994,0.96484375,0.68224677,0.92734047,0.84269566,1.0345925,0.96345417,0.86487203,,0.65781718,,0.82524011,0.7327789,0.90369132,1.0949452,0.543,0.74272837,0.93889393,0.82598725,0.91508152,0.92457562,0.91642554,1.0053105,0.733,0.74014946,1.0638672,0.93914293,,0.90517535,0.93825605,0.916,,0.60546875,,1.0502317,,0.92643502,0.84043735,0.88137514,0.90035636,0.8119064,0.61430135,0.89955096,0.79795792,0.94052734,0.54454249,0.9397162,0.81568916,0.89287606,0.78656167
0.94779266,1.1055111,,0.80192454,0.62228549,0.93374335,0.79255757,,0.66529605,,0.95291773,0.78308046,0.82199685,,,1.0258502,0.86943227,,,0.81560048,0.9765625,0.94376044,1.096996,0.80522629,1.032713,0.97860261,0.78952801,0.93904931,0.85668721,0.96946674,0.9636119,0.92526814,,0.74296448,,0.74899009,0.78476563,0.87156519,1.213062,0.597,0.69392503,0.94167108,0.81577078,0.89951795,0.87929336,0.9035018,1.229028,0.764,0.7662229,1.1046532,0.9157425,,0.94140625,0.91049155,0.842,,0.58632554,,1.0934222,,0.9353648,0.79649203,0.88055283,0.90221133,0.7890625,0.6068038,0.92967116,0.75661787,0.86610153,0.53609717,0.88338454,0.8590298,0.91552734,0.80139101
1.0189179,1.0634288,,0.81916692,0.71170939,0.97319178,0.79273201,,0.66778274,,0.92808949,0.84890408,0.76787707,,,0.94921875,0.86111302,,,0.82288581,0.907,0.92754123,1.0333097,0.82566964,1.0790389,1.0297619,0.82095437,0.9336906,0.89998977,1.6517229,0.98046875,0.92558675,,0.77895359,,0.81920978,0.79979521,0.90840517,1.15,0.684,0.71421789,1.0342617,0.83379657,0.90212392,0.90047554,0.94777261,1.2157451,0.747,0.76335121,1.103158,0.89379041,,0.94902425,0.92125997,0.881,,0.60667843,,1.0084661,,0.92360931,0.79026145,0.91226493,0.86877441,0.77175781,0.60787845,0.87039621,0.78453125,0.77379587,0.546875,0.98824622,0.86386892,0.88419118,0.79545455
1.080355,1.0454139,,0.83203125,0.79466012,0.95665774,0.82170098,,0.69371449,,0.91923701,0.89735525,0.7832527,,,0.96834812,0.82873593,,,0.87063486,0.96890352,0.9999177,0.93294548,0.79311616,1.0148381,1.0087162,0.71125523,0.90103072,0.89887153,1.1947692,0.95359188,0.88022569,,0.71229789,,0.8477276,0.7667988,0.9702621,1.0572716,0.635,0.77442434,1.0567619,0.82860008,0.89585598,0.83815273,0.96385925,1.1038896,0.686,0.72645635,1.035738,0.89778646,,0.94362932,0.9274021,0.839,,0.61639132,,1.0467872,,0.87518285,0.75725446,0.92909664,0.87128818,0.70784931,0.62890625,0.84492549,0.80628034,0.73909931,0.546875,1.0183364,0.87250932,0.86746652,0.76398026
