FB001,FB002,FB003,FB004,FB005,FB006,FB007,FB008,FB009,FB010,FB011,FB012,FB013,FB014,FB015,FB016,FB017,FB018,FB019,FB020,FB021,FB022,FB023,FB024,FB025,FB026,FB027,FB028,FB029,FB030,FB031,FB032,FB033,FB034,FB035,FB036,FB037,FB038,FB039,FB040,FB041,FB042,FB043,FB044,FB045,FB046,FB047,FB048,FB049,FB050,FB051,FB052,FB053,FB054,FB055,FB056,FB057,FB058,FB059,FB060,FB061,FB062,FB063,FB064,FB065,FB066,FB067,FB068,FB069,FB070,FB071,FB072,FB073,FB074
1.1943236,1.1304055,1.0760475,0.7818479,0.83615359,0.91709321,,0.95918997,0.69736494,,0.96193383,0.88824728,,,0.82528064,,0.96676587,1.199616,,0.98723747,0.92312237,1.0086538,0.807,0.80994934,1.0539578,1.0494403,0.85042843,0.9323619,0.97519612,1.165,0.93103335,1.0169761,,0.77265625,0.92119892,0.78976362,0.75370385,1.0888745,,,0.78149893,3.8877811,0.79300686,,0.86807292,0.943,0.6317419,0.70413448,0.81600467,1.283346,0.9164324,,0.978,1.0247396,1.0528228,,0.56551724,0.84765625,3.7285156,,0.96031822,0.70690592,0.97013988,0.96660572,0.9857908,0.67772334,1.4068898,0.83925312,0.939,0.54319357,0.99523253,0.86759039,0.88143485,0.81587787
1.1393402,1.1258872,1.0154049,0.82882322,0.84004548,0.92221823,,0.874928,0.71800696,,0.93620881,0.86742369,,,0.82175652,,0.89828853,1.2251728,1.1015625,0.99584671,0.84325484,0.96512277,1.226,0.79380155,1.021703,1.0894517,0.90061335,0.94489694,0.98381474,1.165,0.94038086,1.034832,,0.77265625,0.92382813,0.87357955,0.74108887,1.1338612,1.1942935,,0.78173575,3.6007178,0.77964388,,0.86531538,0.981,0.54296875,0.71153518,0.73488099,1.3077363,0.95843951,,0.982,0.99241373,0.9828862,,0.578125,0.85854695,3.7285156,,0.9499582,0.77242108,0.97547318,0.93296624,0.94029897,0.69679114,1.0832546,0.80860882,0.981,0.55036272,1.01247,0.84658604,0.91627548,0.82174296
1.1345793,1.0942154,0.94377056,0.86644259,0.91291756,0.89454802,,0.69645744,0.71027579,,0.95783171,0.94373687,,,0.81403186,,0.8562068,1.2019469,1.4749349,0.94290748,0.92447917,0.86781864,1.342,0.79700904,1.063412,1.0643621,0.9256505,0.99470313,0.96732391,1.165,0.95524691,1.1360774,,0.77265625,0.91505561,0.86567982,0.7438256,1.0764713,1.2290008,,0.81127451,3.3136545,0.80151609,,0.87002212,0.938,0.50236046,0.6953125,0.74500512,1.3316592,0.9992282,,0.996,0.94798097,1.0480927,,0.57708865,1.095228,3.7285156,,0.95760523,0.80344203,0.97576365,0.87911962,0.86285704,0.71307407,0.92696128,0.83395779,0.939,0.55586211,0.98436599,0.85183759,0.90762868,0.74593431
1.187293,1.1178768,1.0797863,0.83977108,0.90309874,0.91786504,,0.82048234,0.71480059,,0.97179688,0.96689215,,,0.86195528,,0.89312359,1.1679158,2.0952576,0.99194144,0.92697833,0.91727259,1.282,0.80078125,1.0658011,1.1101505,0.85922411,0.98117761,0.9825563,1.165,0.93964214,1.0910759,,0.74431818,0.91793536,0.76772837,0.72952874,1.1010638,1.1774182,,0.83112282,3.0265913,0.77769708,,0.88530472,0.928,0.53193934,0.70355903,0.80729802,1.2879497,0.97001155,,0.996,0.9685563,1.0630256,,0.5723852,0.86346174,3.638547,,0.96019118,0.77274816,0.96596796,0.921875,0.82366857,0.69991707,0.90996591,0.8473669,0.89,0.54695931,0.9263749,0.87579181,0.91277204,0.72645577
1.2108743,1.0679516,1.1043723,0.82888403,0.85745739,0.9183937,,0.83232793,0.71711882,,0.95809949,0.92818148,,,0.82523473,,0.82002749,1.2352156,1.5532335,0.98313492,0.95235079,1.0724191,1.172,0.79868521,1.021708,1.0990767,0.83352027,0.96157787,0.984375,1.099,0.89993461,1.026821,,0.79242996,0.88652728,0.8550327,0.71696671,1.0957101,1.1452327,,0.78125,2.4732047,0.79285215,,0.92346834,0.973,0.58144633,0.7142103,0.82619013,1.1797259,0.93675671,,0.986,1.0046633,0.98418762,,0.56383851,1.1035937,3.2197839,,0.95703125,0.82710337,0.95021952,0.9044955,0.8150653,0.72914497,0.99263696,0.79492188,0.905,0.5625,0.92211365,0.83102431,0.93748392,0.78693533
1.2367643,1.0898438,1.0234315,0.84452405,0.8760167,0.84289864,,0.70520333,0.70509913,,0.97456174,0.91981908,,,0.8649689,,0.71091807,1.2478738,1.0949706,0.95402152,0.90160949,1.0357516,1.136,0.82462086,1.0376407,1.0297991,0.88802673,0.97101815,0.95131138,1.088,0.9325133,0.99121851,,0.74631298,0.88683256,0.8666344,0.72150359,1.045888,1.2288545,,0.80140625,1.821549,0.80174366,,0.90523976,0.96,0.64697538,0.70967882,0.76083609,1.1010374,0.94869574,,1.001,0.93930054,0.93741929,,0.57442848,0.99253558,2.8010208,,0.95486288,0.81027587,0.9749375,0.85256177,0.94872159,0.73474313,1.0021729,0.81440502,0.954,0.55777426,0.93706418,0.84765625,0.89576221,0.76350333
1.1670076,1.0898438,0.98393851,0.80321584,0.85245732,0.84852031,,0.66233511,0.6907848,,0.98518057,0.93196615,,,0.79741115,,0.71900615,1.2057983,1.9722007,0.96834047,0.75651042,0.98497596,1.205,0.73828125,1.0248018,0.98216248,0.75482737,0.94642633,0.92984825,1.208,0.91703254,0.9259375,,0.68900576,0.89706778,0.79888188,0.77170139,1.0182877,1.1815359,,0.80902569,1.1698934,0.77408854,,0.85168851,0.922,0.65945184,0.67543658,0.76038185,1.1623665,0.92429786,,1.012,0.87703413,0.95673706,,0.575,1.2772617,2.3822577,,0.95683835,0.77489506,0.95961442,0.88854167,0.92809156,0.69766488,0.96914886,0.85917699,0.981,0.55432735,0.92580146,0.83858367,0.90963542,0.80582092
1.15653,1.030872,1.0118448,0.78389997,0.79437934,0.84795673,,1.2912946,0.703125,,0.94082755,0.9113708,,,0.81720267,,0.7062752,1.2661922,2.2025097,0.95839132,0.83623338,0.95345052,1.162,0.80595798,1.0014391,0.95693712,0.74707031,0.91924895,0.93515625,1.253,0.89300272,0.93399129,,0.69948209,0.88140143,0.8427833,0.76359216,1.0501803,1.0937759,,0.77035985,2.4888457,0.79543888,,0.86262153,0.945,0.50356351,0.72116713,0.78746094,1.1088542,0.85932149,,0.951,0.91488399,0.92189081,,0.5625,1.0845401,2.4530194,,0.96399661,0.72161458,0.93821754,0.85985054,0.83789063,0.69198994,0.8910552,0.83516851,0.932,0.55357934,0.94645167,0.82142052,0.91297469,0.84636645
1.1284475,1.1047953,1.0636473,0.79230799,0.85019441,0.77711397,,0.86272321,0.7126238,,0.94061511,0.82381466,,,0.833261,,0.74890539,1.3112581,2.4202055,0.9115359,0.8849976,0.97478125,1.142,0.78872283,1.0411659,0.94082755,0.81868004,0.93770032,0.9012615,1.278,0.91611842,1.0135216,,0.76057596,0.86118862,0.86032517,0.7390024,1.0121817,1.2020597,,0.76196289,3.2417943,0.77468128,,0.84236152,0.98,0.63382237,0.73684211,0.77988471,1.0488422,0.90212103,,0.877,0.94522939,0.96120574,,0.57207834,0.87285786,3.0368032,,0.94992925,0.73090978,0.97145282,0.86660339,0.87953869,0.70190293,0.94292985,0.82757363,0.849,0.54274554,0.96611338,0.83465376,0.90807882,0.81406998
1.0841874,1.0411784,0.92413304,0.83221126,0.80745739,0.71911621,,0.60235468,0.67591518,,0.94204141,0.85980505,,,0.78667432,,0.84821888,1.209267,2.3814347,0.88944967,0.89602582,0.97642131,1.175,0.78326231,1.0109835,0.93445638,0.83452691,0.94210034,0.90425423,1.304,0.91124868,0.93698408,,0.778743,0.87801032,0.79047781,0.73510223,0.97168349,1.1726685,,0.7860592,3.6298738,0.7711018,,0.85569853,0.949,0.50966957,0.6933042,0.76101401,1.0776646,0.93941226,,0.805,0.94228316,0.85127898,,0.56302787,1.1115395,,,0.95295593,0.77289663,1.0127349,0.87866211,0.97024635,0.69067651,0.93028228,0.87418403,0.955,0.54443008,0.98921875,0.81217144,0.9000947,0.80514706
1.0609233,1.0842115,1.0470932,0.79581311,0.68300571,0.74055816,,0.65921336,0.6755985,,0.91333422,0.94704681,,,0.85471961,,0.81550481,1.0902959,2.342664,0.92840787,0.93715735,0.9705864,1.186,0.80121528,1.0477674,1.046401,0.82432879,0.90342972,0.93496666,1.235,0.86335195,0.94042969,,0.7046274,0.90757503,0.78621973,0.73402364,1.0215714,1.1373355,,0.79647289,4.0179532,0.76972754,,0.83880447,0.949,0.4906851,0.6953125,0.79006807,1.1011924,0.9253633,,0.835,0.95983073,0.88437579,,0.55567089,1.1258789,,,0.96016303,0.77019201,1.0328825,0.82473958,0.97452446,0.67043586,0.86976842,0.8265949,0.916,0.54363839,1.0107574,0.83517085,0.88267299,0.79494048
1.0369831,1.1070476,1.1798097,0.80843905,0.68859012,0.83035714,,1.1371327,0.6713218,,0.9288288,0.94406313,,,0.7923971,,0.79547991,1.1826671,2.2956166,0.96468496,0.9370575,0.9378811,1.136,0.73922697,1.021751,1.0412231,0.8959517,0.94490489,0.92270508,1.037,0.88828125,1.0585619,,0.64962333,0.91402897,0.86193556,0.73757102,1.0182292,1.1844792,,0.78916164,3.8825963,0.75878906,,0.81291316,0.978,0.89831012,0.68649554,0.76930147,1.0353243,0.88844159,,0.958,0.90114183,0.88305348,,0.56541593,0.97575737,,,0.96054213,0.7700295,1.0065407,0.88378906,0.84978693,0.69595251,0.87077415,0.80388269,0.855,0.53880774,0.98356722,0.8223209,0.91025641,0.73062579
1.0843978,1.091776,1.0695642,0.82157139,0.83990119,0.87572338,,0.82587438,0.66601563,,0.93579811,0.87075259,,,0.77980026,,0.79868521,1.2491333,2.2436032,0.9546371,0.9280234,0.95809508,1.137,0.76591589,0.94589428,1.0052329,0.85304054,0.95120389,0.91619318,0.939,0.92114258,0.9339604,,0.64356845,0.89018877,0.77431334,0.72420204,1.0060697,1.1916323,,0.83363009,3.6201917,0.79046875,,0.85814426,0.935,0.55260874,0.69785046,0.74319556,1.0182609,0.91814159,,1.076,0.8376165,0.89082031,,0.55736451,0.88528411,,,0.95703125,0.83337001,1.006399,0.8758587,0.82224629,0.71843156,0.92977392,0.85482385,0.843,0.54964074,0.94661223,0.81868961,0.91228693,0.72111936
