FB001,FB002,FB003,FB004,FB005,FB006,FB007,FB008,FB009,FB010,FB011,FB012,FB013,FB014,FB015,FB016,FB017,FB018,FB019,FB020,FB021,FB022,FB023,FB024,FB025,FB026,FB027,FB028,FB029,FB030,FB031,FB032,FB033,FB034,FB035,FB036,FB037,FB038,FB039,FB040,FB041,FB042,FB043,FB044,FB045,FB046,FB047,FB048,FB049,FB050,FB051,FB052,FB053,FB054,FB055,FB056,FB057,FB058,FB059,FB060,FB061,FB062,FB063,FB064,FB065,FB066,FB067,FB068,FB069,FB070,FB071,FB072,FB073,FB074
1.1171875,1.0278597,1.0431053,0.76905018,0.86993096,0.89882983,0.77442227,0.93359375,0.69350122,,0.93018196,0.88571626,0.70973395,,0.7684605,0.97630843,0.65930398,1.2129669,1.1732896,0.96152265,0.87,1.0600299,1.1906928,0.79050364,1.0004749,0.9683626,0.81290812,0.84215525,0.83969772,1.7508446,0.91015625,0.8195613,,0.69848498,0.889,0.84910813,0.71202257,1.0255248,1.1438759,0.514,0.72666751,,0.79320036,0.92409073,0.91530918,0.94341706,0.508,0.75402706,0.72885101,0.98532517,,,0.89884159,0.818,0.92020089,0.97824328,0.60816357,0.759,0.98317667,1.3212652,0.92958902,0.75641597,0.94356921,0.83015489,0.70024897,0.65934245,0.7996809,0.763,0.8324115,0.54670638,0.95100636,0.71934122,0.92400119,0.81182065
1.1171875,1.031851,0.98252624,0.76350911,0.98836729,0.92336857,0.64286081,1.216805,0.70379774,,0.92167969,0.92463235,0.71432001,,0.77377804,1.0225728,0.7599954,1.1459878,1.1467115,0.93623047,0.901,1.0475984,1.1108839,0.77590144,1.0323596,1.0131968,0.87148796,0.85145349,0.85686126,1.7778716,0.92482564,0.86608435,,0.65516365,0.882,0.75664062,0.72932855,1.0477318,1.0806662,0.566,0.75625818,,0.79070555,0.87828676,0.91283967,0.91146371,0.565,0.75159893,0.6727967,1.053605,,,0.88060764,0.924,0.85219254,0.93544922,0.60982572,0.66,1.0049398,1.2861812,0.9238034,0.74275129,0.92240466,0.84910301,0.69795366,0.70672402,0.79561298,0.763,0.72956731,0.54863556,0.96199709,0.69921875,0.9063003,0.81729239
1.1137047,1.0402688,0.99867692,0.68146307,0.83125,0.90728152,0.78793532,1.1514757,0.71857735,,0.91492492,0.883472,0.77317301,,0.7720065,0.91188573,0.69650958,1.112798,1.0442753,0.92246586,0.979,1.0190263,1.1547999,0.77472015,1.0029659,0.98993389,0.87975318,0.89370888,0.86982113,1.3111294,0.86794249,0.83696097,,0.66276042,0.885,0.80462517,0.73175698,0.9921875,1.1999221,0.563,0.7600221,,0.7760825,0.84344398,0.96020669,0.91523104,0.6,0.74363956,0.64139544,1.1123992,,,0.90397697,0.934,0.93387277,0.91471634,0.61621716,0.716,1.0022623,1.2296809,0.90625,0.71464844,0.92835245,0.87902832,0.64922834,0.71816822,0.86958409,0.81,1.3289386,0.54296875,0.89791349,0.69921875,0.90953947,0.75459085
1.1441201,1.0277128,0.95684956,0.66685268,0.72206182,0.92122673,0.97284963,0.9095962,0.72274026,,0.94542787,0.84319982,0.79681893,,0.76302083,0.7536868,0.72610929,1.058797,1.066945,0.90339674,0.932,0.99282053,1.0981771,0.73122076,1.0063935,0.96147017,0.80703125,0.89835367,0.81714196,0.83443794,0.88629067,0.77516085,,0.71313202,0.898,0.85724432,0.71104307,0.99246432,1.0938128,0.572,0.79314193,,0.76312822,0.83380184,0.95747716,0.93594731,0.649,0.76120477,0.6386768,1.0594076,,,0.89923922,0.958,0.92038002,0.93279324,0.60789764,0.715,0.9453125,1.2715576,0.92091527,0.76060268,0.94443359,0.85858343,0.69588027,0.6875,0.87015625,0.779,1.3576872,0.546875,0.88581597,0.71996009,0.93604316,0.7421875
1.1653204,1.1171739,0.92234505,0.69332664,0.90077132,0.91401305,0.73788653,0.75106912,0.7036051,,0.93024554,0.8893821,0.82320818,,0.80754207,1.1587805,0.79849274,1.0921514,1.1201348,0.93554688,0.9,1.012503,0.96484375,0.74310173,1.0141874,1.0012506,0.73094664,0.85494088,0.8368728,1.1870493,0.91018992,0.78689453,,0.67807112,0.894,0.8083382,0.69136211,1.0147987,1.0493059,0.615,0.82713001,,0.8046875,0.85827465,0.95287744,0.938143,0.718,0.7786264,0.6312597,1.0566786,,,0.93268844,0.976,0.84913234,0.90819658,0.59436678,0.612,1.0105286,1.2812075,0.95170467,0.73395944,0.94850419,0.86880896,0.72502111,0.68963068,0.81861413,0.817,1.0015798,0.53407276,0.91025684,0.73046875,0.93391229,0.73873355
1.1820964,1.1128258,0.99512965,0.69356618,0.86055223,0.91867898,0.7398626,0.88009511,0.70475618,,0.95664894,0.95468415,0.82616262,,0.76194853,0.98087828,0.82987154,1.0553119,1.1921311,0.98796425,0.997,1.0207782,1.2527015,0.74648031,1.0041864,0.98558728,0.72562329,0.82489413,0.87253853,1.6504114,0.93897497,0.86605343,,0.64629612,0.883,0.78778827,0.68716518,0.9728445,1.1908064,0.622,0.80607598,,0.79198271,0.8671875,0.94921875,0.89507473,0.713,0.77728365,0.63425926,1.1469984,,,0.94602416,1.017,0.89492546,0.94204926,0.61451741,0.738,1.0466588,1.2705115,0.93995014,0.7435462,0.92258373,0.92804276,0.71720421,0.69917461,0.85546875,0.858,0.77674279,0.53575502,0.91753657,0.73715324,0.9609375,0.70020077
1.2261399,1.155511,1.0074325,0.78425781,0.89505912,0.95644039,0.8046875,0.68327206,0.70441277,,0.9750504,0.95783133,0.82584635,,0.77231549,1.0378906,0.80855637,1.2002933,1.114943,1.0097568,0.929,1.0377019,1.2184336,0.74588707,0.97832997,0.96767578,0.76691323,0.86210377,0.90264946,1.1175027,0.94035583,0.89666193,,0.65736607,0.884,0.8853561,0.71983139,1.0218062,1.1174363,0.6,0.80738884,,0.81376322,0.93633957,0.92729231,0.92313119,0.584,0.80901918,0.65243902,1.1673284,,,0.94265889,1.03,1.0027574,0.98965077,0.59265217,0.706,1.0040761,1.2587437,0.93493755,0.79257813,0.93146609,0.9375,0.73233876,0.68301995,0.84895833,0.829,1.0245651,0.53911911,0.90229367,0.76011619,0.91809578,0.77460938
1.2691988,1.1419975,0.97633539,0.82859959,0.8946648,0.96589907,0.81583738,0.7490286,0.68220187,,0.9570625,0.94684939,0.80575637,,0.81773919,0.95574524,0.73855136,1.2540584,1.0306333,0.97880665,0.921,0.97838743,1.1731351,0.77625317,0.91532629,1.0330366,0.82873019,0.87133789,0.88604526,1.4546875,0.97920867,0.86480606,,0.73686495,0.895,0.88077446,0.76832933,1.0931222,1.0796385,0.576,0.83490954,,0.81248131,0.9809512,0.91547683,0.9463125,0.527,0.79045483,0.67296512,1.1182155,,,0.94765625,1.057,0.96108435,0.97770694,0.57445791,0.71,1.1204382,1.2695799,0.93498367,0.74684053,0.95194667,0.88232422,0.7123403,0.68595567,0.77701672,0.82,0.98126175,0.54296875,0.86285317,0.74572944,0.90764386,0.86090353
1.205369,1.1867776,1.123541,0.76746544,0.90289441,0.91701986,0.80763597,0.8173319,0.69656338,,0.97025487,0.93859762,0.83017995,,0.78360152,1.0026295,0.74885471,1.2152416,1.2033266,0.9251061,1.047,0.84769652,1.1272113,0.7678125,0.8999256,1.0406566,0.78680099,0.90716315,0.88713728,1.895883,0.9972229,0.96349366,,0.70549742,0.882,0.74274554,0.78064754,1.0395508,1.1504671,0.569,0.80376728,,0.80056276,0.984375,0.91921014,0.90346221,0.547,0.80059163,0.67280076,1.1447446,,,0.93628436,1.038,0.87211997,0.94721369,0.60052083,0.791,1.1441046,1.341231,0.93541074,0.75630697,0.93536352,0.93805339,0.77541185,0.69509427,0.78935401,0.839,0.9691875,0.54960937,0.90282986,0.75861855,0.91796875,0.82518143
1.2407163,1.1301023,1.044848,0.74964298,0.92451845,0.90234375,0.78185246,0.46580376,0.70493785,,0.99747427,0.95556641,0.79047462,,0.81289063,0.98039216,0.7491862,1.170083,1.2641809,0.99669184,0.937,1.2493759,1.0852588,0.78048445,0.83566576,1.0086722,0.70191836,0.96023882,0.90827166,1.963419,0.94040662,1.074707,,0.66772487,0.879,0.83621259,0.74042085,1.0351563,1.1187752,0.595,0.75390625,,0.81570653,0.97879464,0.88788231,0.88436477,0.581,0.77653556,0.6699333,1.1481575,,,0.97883434,0.971,0.87501792,0.94776114,0.59536904,0.889,1.1168009,1.2820449,0.93131086,0.75454077,0.91383077,0.93465909,0.77100824,0.66574929,0.82406923,0.806,0.85439768,0.56640625,0.90720194,0.76347258,0.86424535,0.83984375
