FB001,FB002,FB003,FB004,FB005,FB006,FB007,FB008,FB009,FB010,FB011,FB012,FB013,FB014,FB015,FB016,FB017,FB018,FB019,FB020,FB021,FB022,FB023,FB024,FB025,FB026,FB027,FB028,FB029,FB030,FB031,FB032,FB033,FB034,FB035,FB036,FB037,FB038,FB039,FB040,FB041,FB042,FB043,FB044,FB045,FB046,FB047,FB048,FB049,FB050,FB051,FB052,FB053,FB054,FB055,FB056,FB057,FB058,FB059,FB060,FB061,FB062,FB063,FB064,FB065,FB066,FB067,FB068,FB069,FB070,FB071,FB072,FB073,FB074
1.082669,1.0393405,0.85515844,0.79240535,,0.84711119,0.77067534,0.94537023,0.68849876,,0.80175781,0.93835347,,,0.79164723,,0.90633838,1.0538017,,0.77559673,0.89651089,1.0024965,1.04,0.75660438,0.98879803,1.0002614,0.89772418,0.92221258,0.91362847,0.842,0.9378418,0.85143088,,0.74718455,,0.91768336,0.72182069,0.95905731,1.1604288,1.1143085,0.76179847,0.97,0.795,,0.835,0.93617527,,0.6875,0.75714046,1.091,3.416,,0.94106013,0.93251504,0.84474777,0.863,0.55826823,1.035,1.1494565,,0.93837891,0.73371329,,0.90033967,0.70906929,0.64728719,0.845,0.76058344,1.034,0.55078125,0.91455078,0.79298799,0.92082868,0.76310676
1.044404,1.0364336,1.0340909,0.81930634,,0.84003906,0.73039062,0.88649936,0.70751135,,0.91538815,0.93106429,,,0.71400207,,0.88194086,1.104513,1.0410156,0.77631787,0.89780924,0.99635315,0.948,0.73415236,0.92148438,0.98912584,0.80489309,0.82260174,0.90742861,0.815,0.94200596,0.97163498,,0.65348704,,0.79304534,0.71533203,0.99144345,1.3260372,1.0973526,0.7288091,0.952,0.781,,0.801,0.88597316,,0.68978604,0.82203125,1.214,2.458,,0.9861217,0.91800185,0.88881862,0.886,0.55600792,1.054,1.0771885,,0.94367544,0.77686543,,0.88001751,0.77339311,0.68556985,0.852,0.76091334,0.939,0.55438276,1.015067,0.78963695,0.92113016,0.7454056
1.0723161,1.0704688,1.1296453,0.87109375,,0.88234967,0.75730651,0.78289327,0.73320099,,1.0110996,0.93427016,,,0.77900095,,0.80197483,1.356286,1.072273,0.76101763,0.87453584,0.97046569,1.061,0.74729166,0.963125,0.97029656,0.71323529,0.78465347,0.9140625,0.888,0.94027634,1.1436657,,0.71877182,,0.78390786,0.68511653,0.97839355,1.2499635,1.1284862,0.72689852,0.95,0.794,,0.855,0.90045856,,0.63310185,0.86085304,1.234,1.788,,1.0196821,0.92248641,0.92774291,0.857,0.56222684,1.086,1.0360108,,0.9451196,0.74975586,,0.83203125,0.92266949,0.68662219,0.856,0.81236662,0.885,0.56140734,1.0329884,0.77793861,0.9136769,0.78302734
1.0447049,1.0544116,1.0375466,0.86011071,,0.9365023,0.75703918,0.77058293,0.69548708,,0.96098456,0.98293586,,,0.81174207,,0.7934883,1.2628807,1.112039,0.73848903,1.0009185,0.94984879,1.092,0.75950522,0.99703246,0.98473011,0.71306818,0.81734375,0.89378005,0.868,0.92842956,0.973011,,0.73909931,,0.85281545,0.67578125,0.97957223,1.1938887,1.1721596,0.76348684,1.014,0.829,,0.887,0.93074235,,0.65729802,0.79006807,1.161,1.358,,0.9832759,0.98695866,0.95132526,0.933,0.5653125,1.119,1.0678466,,0.93909505,0.71864149,,0.86482174,0.98330543,0.6849564,0.841,0.79942415,1.171,0.55270687,1.0014167,0.7915695,0.92316619,0.80078125
1.0044733,1.0918599,0.97631048,0.81456801,,0.90829227,0.88361011,0.45411005,0.69344815,,0.95761476,0.93788297,,,0.74715402,,0.83018868,1.1858766,1.1537157,0.75157477,0.9193892,0.96977382,1.029,0.75285706,0.94617372,0.94190426,0.84450191,0.92642405,0.86649187,0.873,0.9355953,0.92578917,,0.80854859,,0.79866719,0.70056497,1.0137173,1.2994534,1.1515387,0.7834712,1.012,0.8,,0.817,0.92930328,,0.74348273,0.80724677,1.123,1.119,,0.96132812,0.9548125,0.92375881,0.923,0.55859375,1.138,1.0987483,,0.93401517,0.72879172,,0.86223958,0.96164345,0.6953125,0.81,0.75398477,1.329,0.55840119,0.98561257,0.77054251,0.89447985,0.74158504
1.095823,1.1348706,1.0592831,0.84944811,,0.94692665,0.72503031,0.81885901,0.69686191,,0.9750996,0.84127038,,,0.80443486,,0.8213347,1.1563549,1.2361725,0.75,0.890625,1.0195313,0.926,0.76912435,0.99619264,0.92141644,0.89279891,0.93489583,0.9000987,0.949,0.89968418,0.95843877,,0.83210191,,0.79030231,0.73179945,0.99462704,1.2363394,1.1269734,0.71704224,0.994,0.822,,0.905,0.86068892,,0.73981946,0.81143973,1.144,1.024,,0.97795759,0.94666466,0.86099381,0.9,0.5733028,1.13,1.0666329,,0.93853837,0.73134609,,0.80955616,0.88240961,0.67248947,0.737,0.74578536,1.294,0.57701647,0.92794447,0.78421875,0.90756899,0.70351133
1.2306609,1.0808097,1.0165128,0.86169715,,0.97433036,0.73613556,0.65131261,0.68248402,,0.95551915,0.84275466,,,0.84555012,,0.81815079,1.1310809,1.2914215,0.75142415,0.92553335,1.0180945,0.942,0.73881022,1.0165829,0.92691585,0.89034845,0.90280918,0.923884,0.904,0.90454102,0.91018908,,0.8892283,,0.88588542,0.69817126,0.99393586,1.1432338,1.0819907,0.75268555,1.083,0.791,,0.89,0.88466841,,0.72265625,0.72735507,1.21,1.024,,0.97042859,0.97143076,0.80150182,0.921,0.57100813,1.079,1.0203919,,0.93970229,0.77362351,,0.87681362,0.9701866,0.65056606,0.75,0.74217869,1.158,0.55983297,0.8852323,0.7762995,0.89910524,0.72586192
1.3208938,1.0822879,0.72326053,0.79513302,,0.94629934,0.6748006,0.77797518,0.69045188,,0.95177969,0.84230324,,,0.81271701,,0.85265477,1.1043706,1.3076568,0.71593669,0.89641935,0.97298569,0.986,0.71859976,0.99254808,0.85799535,0.83233696,0.82877604,0.91261421,0.833,0.91462054,0.86458333,,1.5964177,,0.85097064,0.70354196,1.0234525,1.2467874,1.0648777,0.75257732,1.194,0.78,,0.878,0.90625,,0.72051411,0.69625087,1.275,1.071,,0.90538369,0.90004214,0.79092903,0.863,0.56337691,0.99,1.0350064,,0.94148797,0.85967548,,0.86684181,1.0351563,0.65956439,0.799,0.72849318,1.015,0.56351071,0.92474876,0.76953125,0.93318075,0.73253555
1.2784286,1.0319807,1.3092713,0.78009187,,0.8904212,0.86559245,0.6165126,0.72540984,,0.93823044,0.81531701,,,0.78957698,,0.86604891,1.3499222,1.2976657,0.7787642,0.90369609,1.0006104,1.002,0.73972832,1.0047743,0.87274428,0.78587175,0.80731081,0.86988047,0.88,0.90625,0.93453664,,1.3769055,,0.79326172,0.71484375,0.99365791,1.2062889,1.0286937,0.71484375,1.184,0.798,,0.897,0.88917699,,0.69298631,0.70740643,1.234,1.117,,0.86605628,0.89752783,0.80443611,0.836,0.56761023,0.918,1.0309924,,0.94243931,0.83925084,,0.88955305,1.0362176,0.66358279,0.758,0.78753906,0.929,0.56092665,0.90976216,0.78999072,0.91422194,0.72399372
1.1942919,1.0386991,0.88108697,0.81803385,,0.8342835,0.64784889,0.97167573,0.734375,,0.89401814,0.86957568,,,0.80742939,,0.80666893,1.2529688,1.2623334,0.85851306,0.93476936,1.015024,0.981,0.73517221,0.97117821,0.9140625,0.7121542,0.84649746,0.86670351,0.864,0.87998384,0.92182756,,1.2710937,,0.84512195,0.72295509,0.98359375,1.1492492,1.0402748,0.72573902,1.006,0.795,,0.851,0.85612555,,0.70949767,0.80105065,1.211,1.114,,0.90772804,0.93962619,0.78667211,0.853,0.5625,0.874,1.0139554,,0.94451828,0.72854696,,0.96399385,1.0270354,0.64301085,0.746,0.78529668,0.868,0.54762835,0.91178323,0.78708051,0.93393342,0.77494448
1.1561957,1.0303819,0.77841092,0.85012241,,0.80449219,0.75351969,0.95267254,0.69921875,,0.89692708,0.9431773,,,0.78546566,,0.80649771,1.230367,1.203104,0.90424636,0.9356169,0.99945068,0.962,0.74136845,0.96004464,0.92574786,0.67336204,0.90740939,0.88854505,0.815,0.89027623,0.9066802,,1.3155692,,0.87244792,0.71994068,1.0332861,1.2319504,1.080632,0.73648479,0.925,0.786,,0.869,0.92685258,,0.6990626,0.80241344,1.219,1.042,,0.99706197,0.88796165,0.84595867,0.844,0.55172318,0.854,1.093046,,0.9486538,0.71877135,,0.95102403,0.9653687,0.66283746,0.797,0.75891578,0.86,0.5546875,0.96752142,0.80546875,0.94490729,0.75195313
1.215917,0.97397837,0.95019872,0.78848911,,0.82682292,0.8828125,0.74818314,0.6766978,,0.91959213,0.87906569,,,0.80708984,,0.84085787,1.2566551,1.1303713,0.86123512,0.90288339,0.97675,0.967,0.73062517,1.0085747,1.0192331,0.70438368,0.91136333,0.82927497,0.835,0.92742253,0.9526762,,1.3334263,,0.77426305,0.7181799,1.0399884,1.2020597,1.1238338,0.71176998,0.951,0.814,,0.868,0.9701875,,0.70481179,0.79862883,1.218,1.001,,1.0227051,0.91686519,0.86748529,0.846,0.55878497,0.853,1.0564904,,0.94566615,0.75749578,,0.98935547,0.84973958,0.66134412,0.845,0.79790901,0.907,0.55149648,0.91750332,0.79262238,0.89683949,0.71942935
1.1873458,0.94047004,0.5876019,0.85270929,,0.80066636,0.65746753,1.0585938,0.64825037,,0.90292307,0.91887718,,,0.80502392,,0.83016772,1.2303575,1.0828077,0.8635368,0.87730939,0.98381696,1.006,0.73729986,0.95352909,0.98435974,0.8353581,0.92901739,0.83360123,0.786,0.90625,0.94634046,,0.88614766,,0.87632042,0.71238346,1.0554479,1.1261816,1.1595529,0.68498411,1.001,0.84,,0.834,0.90210904,,0.71174423,0.84596605,1.126,1.057,,0.99755487,0.94898702,0.82001202,0.95,0.5625,0.867,1.0481274,,0.95286674,0.73460115,,0.97696899,0.76346154,0.6484375,0.798,0.79243021,0.967,0.54296875,0.9113298,0.77508328,0.9359375,0.73949933
1.1741879,0.87877604,1.0304393,0.86053632,,0.88175816,0.89322917,1.1459535,0.64477238,,0.94748264,0.91300456,,,0.75212516,,0.79099629,1.1892183,1.0580918,0.900522,0.89647913,0.97516629,1.074,0.75007271,1.0075684,0.90789029,0.88698269,0.89003314,0.87681812,0.801,0.91172212,0.8620494,,0.6302962,,0.8949285,0.69706812,1.0976563,1.2115336,1.1948259,0.66857879,1.012,0.803,,0.837,0.86005904,,0.6953125,0.82192635,1.025,1.098,,0.95160846,0.89307497,0.7798068,0.946,0.56297097,0.891,1.1558104,,0.94518337,0.7370511,,0.96087347,0.79807079,0.6626506,0.801,0.75953845,0.958,0.54874442,0.91507646,0.78239093,0.91192575,0.73152121
1.1498958,0.86123853,1.4178395,0.83025073,,0.87732639,0.59189619,1.1797331,0.6559927,,0.92271559,0.82495641,,,0.78548348,,0.8046875,1.2434251,1.0380773,0.87604632,0.97288169,1.0089437,1.086,0.74413247,1.0492996,0.91741305,0.8647017,0.84765625,0.85558921,0.829,0.92138054,0.93785807,,0.79453125,,0.80890625,0.71283726,1.0691587,1.2537414,1.2311926,0.73498213,0.995,0.717,,0.828,0.909375,,0.71111015,0.77230992,1.105,1.126,,0.97265625,0.93824559,0.80214078,1.046,0.58027742,0.922,1.1029966,,0.9375,0.78346488,,0.97649166,1.0115076,0.67171785,0.83,0.79774701,0.957,0.54178844,0.89959927,0.76407428,0.9030231,0.69692737
1.1249866,0.89796027,1.4688115,0.85739384,,0.89627511,0.77532051,1.2374691,0.65434283,,0.90826231,0.83912852,,,0.75854142,,0.79979521,1.265625,1.0513731,0.90128616,1.2560422,0.97860122,0.971,0.7443484,0.9921875,0.83302525,0.75822653,0.85809692,0.83659463,0.813,0.890625,0.97122448,,0.98898467,,0.74648243,0.72527473,0.98869324,1.2011536,1.2536636,0.77528118,0.978,0.802,,0.843,0.9316159,,0.71953956,0.79944087,1.19,1.14,,0.97710937,0.90310514,0.84683866,1.049,0.58359375,0.955,1.0725986,,0.93860677,0.78157874,,0.94778698,0.95745355,0.64954697,0.818,0.79020579,0.888,0.53635379,0.91685022,0.77282592,0.90068152,0.6875
1.1060992,1.0154426,1.3823441,0.87368639,,0.88321314,0.79517327,1.3355544,0.67208059,,0.92845654,0.85962134,,,0.77119686,,0.74546186,1.2183401,1.0694795,0.93667936,1.2789448,0.95862564,0.927,0.73067115,1.02075,0.71794872,0.73973034,0.87536951,0.85251656,0.798,0.87017463,0.85485952,,1.0896363,,0.7927412,0.74776204,0.9418885,1.2265625,1.197763,0.81220496,0.987,0.953,,0.869,0.8995931,,0.71436896,0.80432546,1.194,1.209,,0.99071691,0.85328852,0.83423295,0.955,0.56578234,0.985,1.0571378,,0.94318395,0.74997976,,0.88564899,0.99917603,0.66099832,0.794,0.75123355,0.904,0.55859375,0.96157787,0.76247224,0.86007883,0.69320576
1.0877308,1.1227371,1.1716474,0.8061414,,0.87338119,0.80315564,0.98060581,0.68294271,,0.91351859,0.81741431,,,0.78804687,,0.71428263,1.106612,1.0511467,0.94030161,1.0966434,0.97491529,1.032,0.73172883,1.0127841,0.671875,0.85181021,0.85921875,0.85900549,0.856,0.88938686,0.89230158,,1.1030984,,0.74986049,0.72995477,0.91331449,1.1771973,1.1257324,0.84403409,0.954,0.959,,0.852,0.81481222,,0.69632683,0.75116574,1.125,1.252,,0.89422286,0.87890625,0.85298978,0.911,0.56727431,1.011,1.0430842,,0.93529768,0.71991574,,0.91738697,0.97192188,0.66447129,0.819,0.78022837,0.976,0.55547968,0.95060484,0.75989718,0.85398151,0.65693132
1.0373802,1.0054957,1.1402252,0.79558575,,0.86767578,0.86519452,0.57130682,0.6817294,,0.90217317,0.85416025,,,0.75580193,,0.78180804,1.0133024,1.0312315,0.90789561,0.85392727,0.9922647,0.971,0.7364502,1.0078125,0.87792478,0.92317708,0.85976562,0.83851166,0.799,0.89789165,0.90331334,,0.87149541,,0.78833912,0.7421875,0.94543087,1.1199134,1.1080861,0.79221755,0.9,0.78,,0.865,0.79985303,,0.64175397,0.79807239,1.069,1.206,,0.94246721,0.86623264,0.8174268,0.943,0.55957031,1.04,1.032971,,0.94051659,0.71132812,,0.8870614,0.84819628,0.65387331,0.831,0.79258578,1.009,0.56555944,0.97213542,0.79173722,0.84312571,0.66165865
0.98335041,1.0819092,1.3164204,0.83157835,,0.80506675,0.66579279,1.3458807,0.6770148,,0.91248659,0.91565653,,,0.78136719,,0.79817708,1.069286,1.0495577,0.9174229,0.84143242,1.0054748,0.91,0.71921203,1.0377907,0.99020433,0.93066815,0.94829868,0.88378448,0.798,0.84517663,0.88474499,,0.65944602,,0.703125,0.74100942,1.0624548,1.2077392,1.11898,0.78574811,0.958,0.796,,0.876,0.83333333,,0.63560957,0.82315848,1.17,1.064,,0.91753286,0.88451705,0.82732894,0.968,0.5670528,1.079,1.0337932,,0.9445409,0.76023065,,0.87471591,0.84102098,0.67945636,0.79,0.75220246,0.981,0.581875,0.98443652,0.77869818,0.86273619,0.6796875
1.1002321,0.97279676,1.1119324,0.84645433,,0.82048234,0.7578125,0.98224432,0.6903631,,0.89242788,0.84729623,,,0.79479555,,0.72265625,1.0035926,1.079533,0.95690104,0.89776229,0.97589063,1.095,0.7370205,0.98116838,0.92990801,0.87178309,0.9656503,0.94813179,0.82,0.87883618,0.92937119,,0.98171937,,0.78404948,0.73249346,1.115804,1.2103327,1.121931,0.7775793,1.02,0.752,,0.848,0.90394022,,0.7347561,0.76158916,1.222,0.997,,0.94140625,0.92346834,0.83582949,0.898,0.57392444,1.137,1.0797612,,0.93929036,0.7734375,,0.92783369,0.78816253,0.67287946,0.786,0.80078125,0.957,0.5546875,0.93284674,0.78617187,0.82477414,0.66277574
1.1486866,0.86500319,0.92178771,0.83905885,,0.86311849,0.79856637,0.95329372,0.7233764,,0.90825498,0.85675872,,,0.77704471,,0.71209882,1.029541,1.0940303,0.92716734,0.9088495,0.97265625,1.146,0.7237367,1.0098374,0.89597486,0.75298295,0.96496976,0.930552,0.767,0.90634931,0.94821258,,0.89453125,,0.86322623,0.74046053,1.1038065,1.1587198,1.1108858,0.76912109,1.04,0.805,,0.83,0.90334535,,0.73716518,0.76961097,1.159,1.019,,0.95798755,0.9326131,0.87560096,0.942,0.56515842,1.205,1.0336741,,0.94140625,0.73695817,,0.90348307,0.88400989,0.65271357,0.854,0.81929348,0.981,0.5581261,0.94242892,0.77850402,0.84056235,0.64122412
1.0774148,0.88427734,1.3707386,0.88241279,,0.81361756,0.86350868,0.84902815,0.72871407,,0.93549679,0.91105769,,,0.78634244,,0.68085937,1.1529948,1.1024207,0.92081425,0.85787331,0.97265625,1.02,0.73463487,0.98100345,0.8711961,0.72143159,0.96074539,0.90715921,0.765,0.86871833,0.95967056,,0.75920286,,0.7491862,0.71817367,1.0972711,1.2192549,1.0963847,0.73842441,0.993,0.783,,0.872,0.90609581,,0.73186087,0.79414063,1.046,1.081,,0.98102679,0.8815918,0.97170431,0.945,0.56778971,1.192,1.0523098,,0.94140625,0.79689483,,0.89446055,0.96863463,0.66964614,0.847,0.76908827,1.004,0.55204665,0.9658043,0.77004943,0.84435096,0.67869971
1.1683239,1.0398974,1.0071023,0.87700498,,0.75184044,0.71447582,0.56087024,0.70839844,,0.92597656,0.86853448,,,0.78846598,,0.66070772,1.1671298,1.1116934,0.94851002,0.91710805,0.97265625,0.981,0.73996001,0.97970964,0.80028634,0.75435207,0.98171377,0.92806263,0.806,0.88805003,1.0082984,,0.99330198,,0.7666639,0.71627956,1.0378236,1.1562256,1.176161,0.73042697,1.021,0.788,,0.843,0.9362367,,0.74181743,0.7700622,1.077,1.132,,0.9573125,0.942746,0.9757628,0.909,0.59297903,1.043,1.1298759,,0.93887772,0.77087694,,0.92064495,1.0278906,0.67201048,0.762,0.84250876,0.988,0.55072545,0.9125189,0.79468982,0.85082547,0.65770349
