"FB001","FB002","FB003","FB004","FB005","FB006","FB007","FB008","FB009","FB010","FB011","FB012","FB013","FB014","FB015","FB016","FB017","FB018","FB019","FB020","FB021","FB022","FB023","FB024","FB025","FB026","FB027","FB028","FB029","FB030","FB031","FB032","FB033","FB034","FB035","FB036","FB037","FB038","FB039","FB040","FB041","FB042","FB043","FB044","FB045","FB046","FB047","FB048","FB049","FB050","FB051","FB052","FB053","FB054","FB055","FB056","FB057","FB058","FB059","FB060","FB061","FB062","FB063","FB064","FB065","FB066","FB067","FB068","FB069","FB070","FB071","FB072","FB073","FB074"
1.1014949,1.0117188,1.0119307,0.78305737,0.90839267,0.90234375,0.79099629,NA,0.69193591,NA,0.81458586,NA,0.71480409,NA,NA,0.95253596,0.81513532,NA,NA,0.93549805,0.94592085,0.91129179,0.9183915,0.77734375,0.98462702,1.051011,0.89822141,1.0099976,0.86504181,0.79337891,0.91657986,0.921875,NA,0.7237007,0.89648438,0.75374517,0.70668209,1.0468595,1.1897491,0.599,0.73682121,0.89901928,0.78379755,0.91431615,0.85767274,0.92666331,NA,0.81894254,0.74063678,0.668,NA,NA,0.89626736,0.9418312,0.97890625,1.0512426,0.61992187,0.364,0.94537788,NA,0.93054655,0.78172871,NA,0.82594686,0.69385805,0.7573117,0.9364984,0.8162157,0.85546875,0.57179054,0.99730603,0.76291454,0.93276872,0.627727
1.0367009,1.0312651,0.91295072,0.75164578,0.66615032,0.87275095,0.78890931,NA,0.67948999,NA,0.74311266,NA,0.66050502,NA,NA,0.89859306,0.7736253,NA,NA,0.90699169,0.9226262,1.4723931,0.93116035,0.7761071,0.97554087,1.0556092,0.81405559,0.95766129,0.93136161,0.89351597,0.89600883,0.84970869,NA,0.64809079,0.91355929,0.7267863,0.73976935,1.085729,1.0779208,0.493,0.80635616,1.2774839,0.79267282,0.91461104,0.88511531,0.8708917,NA,0.79409555,0.7539676,1.11,NA,NA,0.90247903,0.93082883,0.97890625,0.98816551,0.60197495,0.741,0.94188262,NA,0.92434123,0.73027046,NA,0.77140466,0.75947215,0.70513091,1.0419962,0.78852053,0.89196276,0.55078125,0.92491319,0.7449259,0.84945637,0.65141482
1.0750649,1.0409801,0.83584405,0.70583417,0.8061899,0.87388645,0.91835937,NA,0.69140625,NA,0.77849741,NA,0.69179459,NA,NA,0.95558083,0.75559211,NA,NA,0.85586478,0.93524949,1.0190253,0.86294158,0.74481908,0.88151042,1.013121,0.7240625,0.84058459,0.90600887,0.94261853,0.84503425,0.89816338,NA,0.62944002,0.88592426,0.78125,0.75898239,1.0557812,0.97602576,0.508,0.85416715,1.5959294,0.78744284,0.86939103,0.88024958,0.89117543,NA,0.79246346,0.73555871,1.01,NA,NA,0.93699333,0.94908577,0.97890625,0.85627801,0.59310024,0.904,0.94124073,NA,0.92299578,0.69743114,NA,0.83168993,0.77328431,0.69734375,0.98511285,0.78832816,0.88707541,0.5537522,0.98306237,0.74216694,0.87828676,0.61155063
1.0309985,0.98337054,0.83491143,0.73211571,0.74126838,0.88949424,0.65282207,NA,0.69729873,NA,0.84765625,NA,0.7517638,NA,NA,0.93936821,0.79835668,NA,NA,0.86303601,0.88301455,0.92422616,0.83177207,0.75264486,0.85579277,0.96442921,0.66562954,0.82506469,0.8929481,0.90866815,0.76922488,0.95693674,NA,0.64687979,0.875,0.74871094,0.73108553,1.0209961,1.2095655,0.806,0.79615031,1.4990027,0.77914349,0.83719699,0.91563515,0.93818359,NA,0.79697027,0.66891312,0.882,NA,NA,0.94988297,0.9732414,0.97890625,0.89139937,0.58806103,0.924,0.98812181,NA,0.91565148,0.73879076,NA,0.87697072,0.73643092,0.70044082,0.93892759,0.83151042,0.76342402,0.53956473,1.0165162,0.73412698,0.84344398,0.63381348
1.0293489,1.0694111,0.83834696,0.81373665,0.73906663,0.85826647,0.78001335,NA,0.68125,NA,0.91079256,NA,0.73619633,NA,NA,0.90143968,0.81281472,NA,NA,0.82907035,0.89150706,1.0319273,0.91192684,0.76159856,0.94656745,0.96468687,0.63933851,0.97200279,0.90885985,0.88679142,0.73346706,0.90043254,NA,0.66606105,0.87890625,0.81017333,0.72392314,1.0066725,1.2829065,0.81,0.76356282,1.1052233,0.80232865,0.85350662,0.93092366,0.9585811,NA,0.79013672,0.66964614,0.993,NA,NA,0.86897569,0.9416875,0.88406063,0.93812693,0.59768162,0.875,1.0102501,NA,0.90711806,0.79252116,NA,0.85590086,0.73479959,0.68292101,0.98439134,0.80488551,0.80820953,0.53125,0.97305573,0.72093414,0.88719334,0.67663233
1.0856565,1.0691236,1.0057685,0.78717238,0.81509165,0.83141447,0.84409699,NA,0.70081277,NA,0.87268949,NA,0.75361729,NA,NA,0.95807516,0.76376762,NA,NA,0.77145634,0.97802324,1.0276632,0.98091377,0.74468833,0.91190786,0.91857462,0.73697917,0.80472033,0.89323485,0.92588141,0.84819628,0.88244465,NA,0.63233613,0.87751736,0.87760417,0.75250083,0.99543014,1.1849214,0.494,0.72121711,0.93975967,0.80287729,0.85986768,0.88496993,0.8987616,NA,0.80078125,0.70971821,0.903,NA,NA,0.85563303,0.97065389,0.76774089,0.9158957,0.5859375,0.828,1.0189129,NA,0.89463227,0.81554033,NA,0.91708669,0.89992395,0.64589608,0.95138031,0.77734375,0.97654602,0.54311131,0.92354057,0.72181166,0.9296875,0.64219703
1.0496853,1.0419922,0.97633272,0.73122076,0.78331473,0.89067493,0.83141523,NA,0.73363678,NA,0.8957648,NA,0.74888393,NA,NA,1.0354675,0.75744437,NA,NA,0.775625,0.91976228,1.0056124,0.94311136,0.76931183,0.97546118,0.91416575,0.88057215,1.191529,0.82377232,0.93295365,0.85589489,0.94089894,NA,0.61951147,0.86985006,0.82752131,0.75436231,0.97034729,1.1637844,0.613,0.68125,0.96829578,0.84044054,0.87134461,0.89083615,0.93151701,NA,0.78191692,0.69421875,0.893,NA,NA,0.91037996,0.9870051,0.76773437,0.99634079,0.5835518,0.856,1.0187858,NA,0.91476663,0.8612417,NA,0.93515625,0.92578125,0.64577742,0.8169528,0.81413386,0.98024076,0.54084821,0.93332046,0.70901639,0.92387736,0.64701067
1.1672691,1.1096755,0.90411458,0.79713018,0.81328935,0.95019531,0.6027293,NA,0.75737179,NA,0.9375,NA,0.71866415,NA,NA,1.0463976,0.81145198,NA,NA,0.75,0.92967014,1.0027618,0.91191658,0.77188691,0.95835384,0.93825499,0.92759309,1.0101663,0.84653501,0.89812696,0.86680773,0.91773531,NA,0.65686035,0.89463682,0.71410998,0.74506579,0.99690301,1.2858183,0.742,0.65625,0.90491536,0.80795188,0.91019082,0.93693709,0.94426762,NA,0.7967403,0.74291724,1.04,NA,NA,0.96254596,0.91525136,0.72335304,0.97235461,0.60004058,0.921,0.99083534,NA,0.94159836,0.80903183,NA,0.84573929,0.92578125,0.66946766,0.84131089,0.79713418,0.8874748,0.54296875,0.9477838,0.703125,0.96383408,0.63671875
1.1345013,1.0327524,0.99532158,0.83203125,0.89325191,0.92412309,0.82067157,NA,0.74966755,NA,0.93188477,NA,0.73197276,NA,NA,1.0429688,0.81651526,NA,NA,0.70874023,0.94858923,1.0149106,0.98831201,0.7513089,0.8927062,0.91650998,0.84187894,0.95615074,0.87043076,0.86859516,0.90234375,0.86211993,NA,0.72944973,0.9485265,0.74254645,0.77976285,1.0249433,1.1564506,0.714,0.66359747,0.93777655,0.8009375,0.90084774,0.86993243,0.91300013,NA,0.81244339,0.77822266,1.121,NA,NA,0.95905441,0.94658076,0.7374832,0.91025815,0.57984375,0.755,0.97723707,NA,0.88224959,0.82683575,NA,0.86656886,0.87369792,0.6640625,0.875,0.76737467,0.89994266,0.55780157,0.89202474,0.69399579,0.90519892,0.63985813
1.1413625,1.0572473,0.9186646,0.77525308,0.85888672,0.90402025,0.87514584,NA,0.77200255,NA,0.92362035,NA,0.75390625,NA,NA,0.98953944,0.77872922,NA,NA,0.70791609,0.86898791,1.0276131,0.94555166,0.77256059,0.99154158,0.95180056,0.81178977,0.92177934,0.8467098,0.9348083,0.87190544,0.90994318,NA,0.72547857,0.94646057,0.74615385,0.78459821,1.0202887,1.1237991,0.562,0.67360102,0.99563487,0.77840051,0.9022928,0.91249332,0.89934028,NA,0.79947294,0.74080529,1.036,NA,NA,0.9691358,0.953125,0.77995746,0.9296875,0.578125,0.697,0.97094435,NA,0.86175115,0.82340802,NA,0.84286063,0.82216662,0.70384515,0.82646833,0.80655229,0.98325174,0.546875,0.82850129,0.6883607,0.92861285,0.69046336
1.1446104,1.086615,0.84573143,0.70532909,0.81338954,0.91279424,0.79690068,NA,0.77695313,NA,0.93359375,NA,0.75933388,NA,NA,0.94714605,0.78952661,NA,NA,0.74330357,0.94335127,1.0208925,0.86545532,0.75316033,0.96818296,0.92769452,0.74984056,0.81850962,0.84507665,0.9473609,0.83361872,0.97854873,NA,0.66568439,0.93810473,0.67088721,0.76191406,1.0158067,1.1460481,0.552,0.65771767,0.99367742,0.78515625,0.84963638,0.89114696,0.87619174,NA,0.80439886,0.71484375,0.904,NA,NA,0.970625,0.8600142,0.79914079,0.89313616,0.578125,0.784,0.95984628,NA,0.93725802,0.75725446,NA,0.81552973,0.80184832,0.70651895,0.81786381,0.81026786,0.9957232,0.55334821,0.87053304,0.70458712,0.92788209,0.72312843
1.1212823,1.0228075,0.93778747,0.7735387,0.88058291,0.91791867,0.64809138,NA,0.73577303,NA,0.91952144,NA,0.82061154,NA,NA,1.0032903,0.81607143,NA,NA,0.76171875,0.97824543,1.010607,0.92138672,0.76807637,0.9612897,0.87597656,0.73747452,0.60059267,0.88804378,0.89894481,0.859375,0.91908482,NA,0.65491673,0.96750364,0.76078288,0.73612253,1.0350675,1.094489,0.665,0.64630682,0.92478635,0.80148088,0.87255419,0.85546875,0.8151765,NA,0.80799566,0.74692047,0.873,NA,NA,0.98418599,0.85764084,0.81236982,0.91332014,0.57057644,0.924,0.94105548,NA,0.94405192,0.75812252,NA,0.85420986,0.85862309,0.66142004,0.89711085,0.77485978,0.91386336,0.56790454,0.94164938,0.73511402,0.89857456,0.68238147
