,Person,Platform,Movie,RR,EDA
0,1.0,1.0,1.0,1.2107538,5.8441
0,1.0,1.0,1.0,1.2074908,5.8288
0,1.0,1.0,1.0,1.1832682,5.8186
0,1.0,1.0,1.0,1.1302174,5.8084
0,1.0,1.0,1.0,1.1771561,5.7982
0,1.0,1.0,1.0,1.0620246,5.788
0,1.0,1.0,1.0,1.1111611,5.7829
0,1.0,1.0,1.0,1.0617514,5.7727
0,1.0,1.0,1.0,0.94995026,5.7625
0,1.0,1.0,1.0,0.98687299,5.7472
0,1.0,1.0,1.0,1.1287705,5.7472
0,1.0,1.0,1.0,1.1152475,5.7421
0,1.0,1.0,1.0,1.1933384,5.7217
0,1.0,1.0,1.0,1.2695193,5.7115
0,1.0,1.0,1.0,1.2570846,5.7013
0,1.0,1.0,1.0,1.253979,5.6962
0,1.0,1.0,1.0,1.214357,5.6911
0,1.0,1.0,1.0,1.1632381,5.6809
0,1.0,1.0,1.0,1.1438601,5.6656
0,1.0,1.0,1.0,1.127688,5.6605
0,1.0,1.0,1.0,1.0998358,5.6452
0,1.0,1.0,1.0,1.1706074,5.6401
0,1.0,1.0,1.0,1.1110048,5.6401
0,1.0,1.0,1.0,1.1196495,5.6299
0,1.0,1.0,1.0,1.1180858,5.6248
0,1.0,1.0,1.0,1.1171875,5.6095
0,1.0,1.0,1.0,1.1783763,5.6044
0,1.0,1.0,1.0,1.2427349,5.5891
0,1.0,1.0,1.0,1.2682292,5.5891
0,1.0,1.0,1.0,1.2771048,5.5789
0,1.0,1.0,1.0,1.2618143,5.5738
0,1.0,1.0,1.0,1.2280061,5.5636
0,1.0,1.0,1.0,1.2132509,5.5534
0,1.0,1.0,1.0,1.207805,5.5432
0,1.0,1.0,1.0,1.1584803,5.5381
0,1.0,1.0,1.0,1.2023992,5.533
0,1.0,1.0,1.0,1.1549226,5.5228
0,1.0,1.0,1.0,1.1934198,5.5177
0,1.0,1.0,1.0,1.2269717,5.5126
0,1.0,1.0,1.0,1.2298198,5.5024
0,1.0,1.0,1.0,1.2496948,5.5024
0,1.0,1.0,1.0,1.2465698,5.4922
0,1.0,1.0,1.0,1.2221787,5.4769
0,1.0,1.0,1.0,1.1818296,5.4769
0,1.0,1.0,1.0,1.1443988,5.4718
0,1.0,1.0,1.0,1.1346778,5.4667
0,1.0,1.0,1.0,1.1466427,5.4565
0,1.0,1.0,1.0,1.0588049,5.4514
0,1.0,1.0,1.0,1.1323495,5.4565
0,1.0,1.0,1.0,1.140625,5.4412
0,1.0,1.0,1.0,1.130244,5.431
0,1.0,1.0,1.0,1.1592882,5.4259
0,1.0,1.0,1.0,1.1794048,5.4259
0,1.0,1.0,1.0,1.1863111,5.4157
0,1.0,1.0,1.0,1.2279303,5.4055
0,1.0,1.0,1.0,1.1522205,5.4004
0,1.0,1.0,1.0,1.1537303,5.3953
0,1.0,1.0,1.0,1.1384211,5.3902
0,1.0,1.0,1.0,1.1164982,5.38
0,1.0,1.0,1.0,1.1154069,5.38
0,1.0,1.0,1.0,1.1201071,5.3902
0,1.0,1.0,1.0,1.1198471,5.4004
